AutoID_row_number,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
1,95.108,128.396,135.747,0.0,6.972
2,100.43,108.55,108.541,0.0,8.741
3,100.386,108.782,108.581,0.0,8.691
4,267.093,271.703,271.605,0.0,10.979
5,266.157,272.171,272.049,0.0,11.112
6,129.381,169.067,211.878,0.0,14.792
7,227.891,259.248,271.864,0.0,14.664
8,171.204,194.298,214.963,0.0,9.598
9,271.471,271.51,272.269,0.0,12.27
10,178.76,194.087,215.126,0.0,6.152
11,199.906,213.327,231.93,0.0,5.69
12,197.622,213.213,231.844,0.0,7.883
13,203.656,213.298,232.044,0.0,7.713
14,203.873,212.886,231.624,0.0,6.796
15,203.799,213.104,232.0,0.0,6.757
16,271.265,271.87,271.952,0.0,5.582
17,266.793,271.693,271.422,0.0,6.037
18,266.431,271.534,271.766,0.0,12.639
19,266.08,271.292,271.47,0.0,12.609
20,204.012,213.118,230.565,0.0,6.77
21,203.765,213.501,231.099,0.0,6.746
22,265.998,271.275,272.081,0.0,12.273
23,271.239,271.515,272.007,0.0,11.611
24,266.619,271.178,271.361,0.0,12.287
25,199.4,213.358,231.728,0.0,36.206
26,193.502,213.381,231.94,0.0,17.92
27,266.344,271.556,271.498,0.0,12.901
28,233.838,259.193,270.997,0.0,11.053
29,233.808,259.228,271.857,0.0,10.993
30,271.388,271.759,271.986,0.0,13.338
31,199.408,212.935,232.098,0.0,37.179
32,203.748,213.239,232.337,0.0,11.446
33,203.788,213.081,232.191,0.0,11.494
34,355.436,355.343,355.39,108.512,98.934
35,135.764,136.084,135.973,0.0,15.552
36,135.976,135.905,135.999,0.0,15.353
37,271.373,285.647,309.625,0.0,29.857
38,108.831,128.642,135.83,0.0,34.989
39,204.007,212.91,231.865,0.0,15.023
40,271.919,285.053,309.822,0.0,12.914
41,108.729,128.338,159.761,0.0,31.496
42,94.892,112.839,140.127,75.905,74.789
43,108.602,128.562,159.967,0.0,22.294
44,108.724,128.542,159.673,0.0,22.217
45,203.543,213.272,231.811,0.0,11.507
46,193.432,213.09,232.606,0.0,19.328
47,204.054,213.084,232.333,0.0,20.817
48,271.608,284.933,308.853,0.0,9.707
49,352.31,388.399,430.174,0.0,9.612
50,84.761,128.444,136.003,0.0,20.802
51,266.607,271.531,271.729,0.0,10.128
52,266.405,271.529,271.829,0.0,10.036
53,266.904,271.572,270.88,0.0,10.099
54,543.836,543.691,543.66,0.0,21.218
55,264.14,285.59,309.216,0.0,9.394
56,197.43,204.068,203.821,28.415,42.467
57,236.793,259.503,398.476,0.0,13.932
58,236.938,259.136,397.95,0.0,13.871
59,263.96,272.124,272.036,0.0,14.164
60,203.622,212.863,231.998,0.0,12.97
61,203.801,213.114,232.186,0.0,13.048
62,242.96,258.642,271.943,0.0,11.215
63,199.256,213.215,231.867,0.0,38.488
64,203.421,213.247,231.99,0.0,16.8
65,203.875,213.456,232.081,0.0,27.976
66,203.947,213.14,232.274,0.0,28.239
67,203.486,213.229,232.033,0.0,25.33
68,543.204,543.836,542.925,0.0,12.744
69,271.693,271.931,271.454,0.0,21.656
70,108.67,128.469,159.762,33.116,46.599
71,95.1,112.848,139.819,0.0,33.892
72,236.5,259.401,398.653,0.0,15.13
73,236.882,259.9,397.795,0.0,15.116
74,264.625,271.681,271.215,0.0,15.17
75,525.962,543.332,542.466,0.0,13.196
76,271.595,285.034,308.899,0.0,13.8
77,271.694,285.56,309.133,0.0,13.776
78,319.377,335.157,363.839,0.0,16.514
79,108.7,108.742,108.731,0.0,37.525
80,319.974,334.665,363.886,61.628,40.714
81,286.434,304.496,336.443,0.0,25.366
82,695.117,761.084,838.852,42.653,54.213
83,695.06,761.35,841.246,42.649,52.45
84,199.263,199.2,199.647,0.0,21.426
85,199.791,199.413,199.469,0.0,21.437
86,199.407,199.459,199.778,0.0,21.325
87,514.42,514.374,514.995,0.0,30.849
88,336.663,336.817,336.119,85.249,75.055
89,335.958,336.372,336.941,94.983,85.375
90,336.94,336.482,336.571,18.965,49.484
91,336.814,336.001,336.449,95.006,86.613
92,515.284,515.792,515.818,0.0,10.338
93,515.331,514.621,515.835,0.0,11.698
94,397.696,398.312,397.975,80.509,67.495
95,357.21,379.837,397.896,80.49,66.335
96,398.307,398.189,398.049,80.495,66.22
97,715.109,759.684,795.874,0.0,31.759
98,398.837,417.085,454.797,0.0,17.684
99,208.035,247.423,310.797,0.0,20.879
100,398.721,398.239,398.249,52.172,57.394
101,399.265,418.407,454.697,0.0,14.16
102,208.081,247.431,310.693,0.0,25.065
103,391.357,418.227,454.604,0.0,20.032
104,347.982,380.335,398.8,23.595,44.207
105,347.782,380.544,397.78,23.724,44.712
106,189.823,247.67,310.157,0.0,26.138
