AutoID_row_number,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
1,92.352,125.271,131.731,0.0,6.388
2,97.646,105.705,105.751,0.0,8.096
3,97.416,105.776,106.068,0.0,7.983
4,258.417,263.699,264.948,0.0,10.075
5,259.228,263.324,264.018,0.0,10.247
6,125.828,164.618,205.733,0.0,13.761
7,220.949,251.24,264.2,0.0,13.532
8,166.474,188.613,208.992,0.0,8.883
9,263.948,263.961,262.953,0.0,11.157
10,173.309,188.912,209.281,0.0,5.669
11,193.764,207.122,224.894,0.0,5.249
12,191.879,207.975,225.337,0.0,7.256
13,197.622,207.573,224.288,0.0,7.105
14,198.057,207.177,224.964,0.0,6.225
15,197.958,207.067,225.499,0.0,6.219
16,262.763,263.991,263.687,0.0,5.191
17,259.337,263.208,264.106,0.0,5.606
18,258.416,263.892,263.713,0.0,11.582
19,258.933,264.455,264.004,0.0,11.732
20,197.657,207.624,224.637,0.0,6.267
21,198.052,206.718,224.493,0.0,6.221
22,259.508,262.863,263.866,0.0,11.462
23,264.512,264.251,263.567,0.0,10.64
24,258.632,263.34,263.595,0.0,11.293
25,193.378,206.621,225.258,0.0,33.433
26,187.294,207.284,224.808,0.0,16.632
27,259.644,263.538,263.576,0.0,11.92
28,227.697,251.228,263.677,0.0,10.075
29,228.194,250.639,264.203,0.0,10.123
30,264.647,264.115,263.864,0.0,12.347
31,194.133,206.831,225.995,0.0,34.198
32,198.02,206.751,225.992,0.0,10.454
33,198.151,207.223,225.521,0.0,10.59
34,345.9,345.902,345.677,102.557,90.739
35,131.552,132.008,131.6,0.0,14.243
36,132.492,132.296,132.145,0.0,14.283
37,263.128,276.963,299.163,0.0,27.638
38,105.305,124.595,131.635,0.0,32.529
39,198.012,207.241,226.051,0.0,13.955
40,263.634,278.254,299.439,0.0,11.867
41,105.718,124.968,155.079,0.0,28.963
42,92.301,109.628,136.071,71.202,68.886
43,105.244,124.751,154.837,0.0,20.511
44,105.727,124.832,154.782,0.0,20.482
45,198.59,205.98,225.981,0.0,10.573
46,187.975,206.81,225.568,0.0,17.839
47,197.993,206.42,225.766,0.0,19.19
48,264.306,277.132,301.659,0.0,9.032
49,342.486,377.322,418.176,0.0,8.82
50,82.079,124.785,131.883,0.0,19.247
51,259.0,262.959,263.537,0.0,9.279
52,258.662,263.307,263.803,0.0,9.381
53,259.625,264.951,264.391,0.0,9.233
54,527.054,526.596,528.416,0.0,19.369
55,256.67,276.749,300.803,0.0,8.656
56,191.746,197.264,198.223,26.913,39.442
57,231.019,251.535,386.692,0.0,12.639
