AutoID_row_number,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
1,93.397,125.626,132.682,0.0,6.633
2,98.4,106.431,106.586,0.0,8.253
3,98.86,107.054,106.724,0.0,8.304
4,261.676,266.155,265.599,0.0,10.419
5,260.776,266.689,267.054,0.0,10.478
6,127.078,166.53,208.768,0.0,14.008
7,223.682,253.475,267.103,0.0,14.053
8,167.434,191.356,211.194,0.0,9.175
9,265.664,266.578,266.53,0.0,11.542
10,175.563,190.905,211.433,0.0,5.834
11,194.749,209.07,226.935,0.0,5.39
12,193.437,208.841,228.321,0.0,7.52
13,199.86,209.087,226.827,0.0,7.298
14,199.704,209.798,228.17,0.0,6.457
15,200.102,209.569,227.206,0.0,6.367
16,265.099,266.864,266.013,0.0,5.307
17,260.116,266.603,265.331,0.0,5.726
18,260.951,265.732,266.752,0.0,11.929
19,261.216,266.44,266.222,0.0,11.869
20,199.418,209.585,226.505,0.0,6.478
21,199.595,209.158,225.938,0.0,6.434
22,260.462,265.802,266.033,0.0,11.728
23,267.089,265.108,266.582,0.0,10.957
24,260.714,265.462,266.43,0.0,11.653
25,195.842,209.681,227.679,0.0,34.517
26,189.777,209.176,227.642,0.0,16.948
27,260.977,265.491,265.787,0.0,12.251
28,229.864,255.223,266.725,0.0,10.341
29,229.2,253.973,266.114,0.0,10.497
30,267.818,266.637,266.583,0.0,12.711
31,196.389,209.852,228.223,0.0,35.102
32,199.491,210.183,227.662,0.0,10.871
33,199.769,209.93,228.123,0.0,10.934
34,348.919,347.721,350.608,105.347,93.669
35,133.41,133.562,133.144,0.0,14.671
36,132.882,132.727,133.218,0.0,14.615
37,267.579,280.022,304.009,0.0,28.406
38,106.773,125.62,133.601,0.0,32.909
39,200.688,208.989,227.907,0.0,14.205
40,266.16,280.093,303.858,0.0,12.106
41,106.41,125.715,156.313,0.0,30.109
42,93.367,110.402,137.739,72.48,70.755
43,106.418,126.049,157.012,0.0,21.308
44,106.432,125.823,156.614,0.0,21.181
45,200.361,210.007,228.163,0.0,11.011
46,189.376,209.445,228.528,0.0,18.27
47,199.384,209.187,227.101,0.0,19.671
48,266.458,280.591,303.195,0.0,9.306
49,346.66,382.629,421.436,0.0,9.051
50,83.249,126.005,133.104,0.0,19.542
51,261.347,266.52,265.892,0.0,9.494
52,261.302,266.9,266.562,0.0,9.576
53,261.56,265.983,266.571,0.0,9.659
54,534.386,531.889,533.475,0.0,20.217
55,259.903,280.049,303.975,0.0,8.784
56,193.547,200.209,200.272,27.298,40.293
57,232.361,254.004,388.749,0.0,13.19
58,232.265,253.744,390.564,0.0,13.092
59,259.145,266.723,266.827,0.0,13.515
60,199.943,209.765,227.759,0.0,12.244
61,199.361,209.478,227.545,0.0,12.194
62,238.77,255.132,265.004,0.0,10.797
63,195.462,209.729,227.651,0.0,36.451
64,199.294,208.285,227.608,0.0,15.886
65,200.493,209.085,227.624,0.0,26.812
66,199.914,208.726,228.578,0.0,26.636
67,199.982,209.236,227.975,0.0,24.281
68,531.669,531.356,535.001,0.0,12.119
69,266.7,266.51,265.465,0.0,20.575
70,106.96,126.11,157.215,32.161,44.357
71,93.441,110.856,137.274,0.0,31.821
72,233.105,254.224,391.181,0.0,14.338
73,232.551,254.564,390.153,0.0,14.279
74,259.146,266.333,265.991,0.0,14.468
75,516.232,532.722,534.388,0.0,12.461
76,266.525,279.909,302.976,0.0,13.012
77,266.721,280.187,304.773,0.0,13.135
78,313.786,328.598,356.842,0.0,15.656
79,106.435,106.604,106.407,0.0,35.607
80,313.825,327.647,356.46,59.316,38.913
81,280.452,298.254,329.326,0.0,23.855
82,683.115,746.16,823.374,41.047,51.298
83,683.392,746.351,824.8,41.042,49.333
84,195.163,196.288,196.842,0.0,20.131
85,196.249,195.177,195.589,0.0,20.229
86,196.029,196.074,195.745,0.0,20.222
87,505.511,505.812,507.637,0.0,29.392
88,329.147,329.832,330.831,81.52,71.098
89,329.381,330.606,331.019,92.046,81.117
90,328.501,327.557,329.677,18.226,46.774
91,330.299,330.279,331.493,91.429,81.911
92,506.208,505.442,504.849,0.0,9.808
93,503.139,507.262,505.646,0.0,11.062
94,390.499,391.556,389.007,77.589,63.493
95,351.66,372.845,389.633,76.636,63.664
96,390.512,389.937,390.539,77.492,62.917
97,703.608,742.937,781.044,0.0,30.137
98,391.173,410.113,445.212,0.0,16.794
99,203.697,243.484,305.069,0.0,19.797
100,391.039,390.501,390.982,50.385,54.189
101,391.3,410.24,445.465,0.0,13.53
102,203.524,243.348,304.499,0.0,23.32
103,383.28,408.588,445.631,0.0,19.027
104,340.668,372.615,389.634,22.767,42.055
105,341.536,373.927,391.101,22.742,42.316
106,186.773,243.09,303.493,0.0,24.678
107,450.481,483.416,522.989,0.0,22.293
108,382.518,410.869,444.873,0.0,16.456
109,383.778,410.457,446.769,0.0,16.175
110,368.609,400.664,441.02,0.0,19.211
111,390.308,392.358,392.531,0.0,13.311
112,391.005,391.958,389.196,0.0,15.712
113,389.885,390.899,391.321,0.0,18.172
114,410.763,436.696,482.194,0.0,9.605
115,505.094,505.498,505.267,0.0,9.539
116,781.689,783.199,783.026,0.0,12.35
117,781.475,780.556,778.304,0.0,6.857
118,391.505,409.863,444.199,0.0,30.443
119,389.902,409.79,447.377,0.0,30.652
120,391.426,390.227,388.732,0.0,32.274
121,389.045,389.436,390.125,0.0,32.461
122,507.378,504.797,503.78,0.0,14.94
123,458.067,457.259,457.833,0.0,10.43
124,456.26,459.777,456.727,0.0,10.425
125,392.268,390.979,389.644,0.0,22.963
126,390.133,389.278,391.13,0.0,41.798
127,351.482,373.299,391.703,0.0,17.916
128,350.321,373.066,391.483,81.442,76.078
129,390.863,388.957,391.312,0.0,17.422
130,918.532,963.953,1044.108,0.0,7.42
