AutoID_row_number,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
1,91.512,123.633,130.497,0.0,6.211
2,96.601,104.646,104.501,0.0,7.804
3,96.506,104.429,104.453,0.0,7.828
4,256.17,261.196,261.459,0.0,9.796
5,256.465,261.016,261.157,0.0,9.935
6,124.84,162.73,204.016,0.0,13.267
7,219.391,249.148,260.979,0.0,13.21
8,165.081,187.045,207.191,0.0,8.613
9,261.62,261.161,261.124,0.0,10.906
10,171.946,186.767,207.029,0.0,5.466
11,191.762,205.068,223.199,0.0,5.105
12,190.016,204.546,222.728,0.0,7.075
13,196.172,204.886,223.152,0.0,6.91
14,195.82,204.992,223.14,0.0,6.094
15,196.14,205.466,223.001,0.0,6.135
16,260.993,261.452,261.459,0.0,5.001
17,256.305,260.817,261.599,0.0,5.417
18,256.581,261.284,261.147,0.0,11.386
19,256.054,261.398,261.49,0.0,11.323
20,196.028,205.248,222.616,0.0,6.114
21,195.806,205.286,222.096,0.0,6.072
22,256.25,261.454,260.735,0.0,11.104
23,261.729,260.937,260.932,0.0,10.392
24,256.302,261.556,261.053,0.0,11.017
25,192.003,205.45,222.787,0.0,32.442
26,185.715,205.383,222.934,0.0,15.982
27,256.036,261.5,261.358,0.0,11.59
28,224.869,249.299,260.77,0.0,9.851
29,224.938,249.583,261.704,0.0,9.844
30,261.13,261.655,261.807,0.0,12.025
31,192.013,204.742,223.008,0.0,33.22
32,195.674,205.207,223.096,0.0,10.283
33,195.783,205.358,223.396,0.0,10.289
34,342.764,341.298,342.738,101.141,88.073
35,130.565,130.556,130.574,0.0,14.041
36,130.607,130.638,130.429,0.0,13.805
37,261.363,274.534,297.416,0.0,26.766
38,104.389,123.706,130.682,0.0,31.235
39,196.001,205.168,222.961,0.0,13.466
40,261.767,274.7,297.559,0.0,11.602
41,104.574,123.54,153.679,0.0,28.429
42,91.559,108.392,134.839,70.235,67.01
43,104.659,123.914,153.822,0.0,19.97
44,104.413,123.363,153.863,0.0,19.829
45,195.724,205.84,223.647,0.0,10.423
46,185.923,204.932,223.461,0.0,17.319
