index,Life Assessment,Total_Indicator
319,0.033,0.033
320,0.032,0.032
321,0.11,0.11
322,0.019,0.019
323,0.01,0.01
324,0.024,0.024
325,0.004,0.004
326,0.019,0.019
327,0.04,0.04
328,0.01,0.01
329,0.008,0.008
330,0.04,0.04
331,0.019,0.019
332,0.036,0.036
333,0.13,0.13
334,0.309,0.309
335,0.556,0.556
336,0.111,0.111
337,0.012,0.012
338,0.026,0.026
339,0.321,0.321
340,0.012,0.012
341,0.016,0.016
342,0.095,0.095
343,0.236,0.236
344,0.051,0.051
345,0.014,0.014
346,0.01,0.01
347,0.017,0.017
348,0.061,0.061
349,0.07,0.07
350,0.009,0.009
351,0.006,0.006
352,0.034,0.034
353,0.024,0.024
354,0.024,0.024
355,0.344,0.344
356,0.018,0.018
357,0.007,0.007
358,0.079,0.079
359,0.007,0.007
360,0.007,0.007
361,0.015,0.015
362,0.053,0.053
363,0.005,0.005
364,0.061,0.061
365,0.088,0.088
366,0.05,0.05
367,0.057,0.057
368,0.056,0.056
369,0.038,0.038
370,0.047,0.047
371,0.026,0.026
372,0.1,0.1
373,0.065,0.065
374,0.008,0.008
375,0.041,0.041
376,0.111,0.111
377,0.033,0.033
378,0.015,0.015
379,0.011,0.011
380,0.033,0.033
381,0.023,0.023
382,0.009,0.009
383,0.011,0.011
384,0.026,0.026
385,0.02,0.02
386,0.015,0.015
387,0.024,0.024
388,0.33,0.33
389,0.332,0.332
390,0.099,0.099
391,0.358,0.358
392,0.216,0.216
393,0.124,0.124
394,0.2,0.2
395,0.314,0.314
396,0.088,0.088
397,0.082,0.082
398,0.228,0.228
399,0.173,0.173
400,0.083,0.083
401,0.106,0.106
402,0.231,0.231
403,0.357,0.357
404,0.012,0.012
405,0.343,0.343
406,0.092,0.092
407,0.02,0.02
408,0.083,0.083
409,0.03,0.03
410,0.027,0.027
411,0.087,0.087
412,0.023,0.023
413,0.038,0.038
414,0.107,0.107
415,0.037,0.037
416,0.026,0.026
417,0.037,0.037
418,0.049,0.049
419,0.051,0.051
420,0.102,0.102
421,0.117,0.117
422,0.022,0.022
423,0.283,0.283
424,0.073,0.073
425,0.022,0.022
426,0.116,0.116
427,0.022,0.022
428,0.03,0.03
429,0.046,0.046
430,0,0
431,0.002,0.002
432,0.002,0.002
433,0.002,0.002
434,0,0
435,0.002,0.002
436,0.004,0.004
437,0.002,0.002
438,0.002,0.002
439,0.002,0.002
440,0,0
441,0,0
442,0.002,0.002
443,0,0
444,0.002,0.002
445,0.295,0.295
446,0.149,0.149
447,0.158,0.158
448,0.077,0.077
449,0.087,0.087
450,0.087,0.087
451,0.499,0.499
452,0.178,0.178
453,0.389,0.389
454,0.343,0.343
