index,Life Assessment,Total_Indicator
1,0.028,0.028
2,0.015,0.015
3,0.123,0.123
4,0.011,0.011
5,0.008,0.008
6,0.221,0.221
7,0.152,0.152
8,0.126,0.126
9,0.115,0.115
10,0.094,0.094
11,0.104,0.104
12,0.017,0.017
13,0.012,0.012
14,0.032,0.032
15,0.215,0.215
16,0.238,0.238
17,0.166,0.166
18,0.16,0.16
19,0.109,0.109
20,0.019,0.019
21,0.174,0.174
22,0.032,0.032
23,0.178,0.178
24,0.171,0.171
25,0.19,0.19
26,0.153,0.153
27,0.168,0.168
28,0.126,0.126
29,0.011,0.011
30,0.026,0.026
31,0.006,0.006
32,0.201,0.201
33,0.207,0.207
34,0.032,0.032
35,0.034,0.034
36,0.189,0.189
37,0.124,0.124
38,0.093,0.093
39,0.007,0.007
40,0.008,0.008
41,0.169,0.169
42,0.125,0.125
43,0.21,0.21
44,0.157,0.157
45,0.05,0.05
46,0.009,0.009
47,0.236,0.236
48,0.149,0.149
49,0.163,0.163
50,0.021,0.021
51,0.308,0.308
52,0.278,0.278
53,0.164,0.164
54,0.22,0.22
55,0.031,0.031
56,0.034,0.034
57,0.222,0.222
58,0.013,0.013
59,0.001,0.001
60,0.014,0.014
61,0.122,0.122
62,0.012,0.012
63,0.229,0.229
64,0.011,0.011
65,0.11,0.11
66,0.095,0.095
67,0.036,0.036
68,0.015,0.015
69,0.103,0.103
70,0.202,0.202
71,0.03,0.03
72,0.016,0.016
73,0.168,0.168
74,0.123,0.123
75,0.107,0.107
76,0.097,0.097
77,0.126,0.126
78,0.179,0.179
79,0.03,0.03
80,0.051,0.051
81,0.05,0.05
82,0.214,0.214
83,0.145,0.145
84,0.238,0.238
85,0.064,0.064
86,0.098,0.098
87,0.009,0.009
88,0.018,0.018
89,0.126,0.126
90,0.006,0.006
91,0.22,0.22
92,0.227,0.227
93,0.222,0.222
94,0.136,0.136
95,0.029,0.029
96,0.012,0.012
97,0.245,0.245
98,0.139,0.139
99,0.009,0.009
100,0.285,0.285
101,0.214,0.214
102,0.107,0.107
103,0.101,0.101
104,0.125,0.125
105,0.225,0.225
106,0.065,0.065
107,0.18,0.18
108,0.281,0.281
109,0.029,0.029
110,0.14,0.14
111,0.027,0.027
