index,Life Assessment,Total_Indicator
1,0.02,0.02
2,0.011,0.011
3,0.063,0.063
4,0.007,0.007
5,0.006,0.006
6,0.169,0.169
7,0.12,0.12
8,0.102,0.102
9,0.045,0.045
10,0.03,0.03
11,0.037,0.037
12,0.012,0.012
13,0.008,0.008
14,0.022,0.022
15,0.164,0.164
16,0.181,0.181
17,0.13,0.13
18,0.126,0.126
19,0.04,0.04
20,0.013,0.013
21,0.135,0.135
22,0.022,0.022
23,0.139,0.139
24,0.134,0.134
25,0.146,0.146
26,0.121,0.121
27,0.132,0.132
28,0.078,0.078
29,0.008,0.008
30,0.018,0.018
31,0.004,0.004
32,0.155,0.155
33,0.159,0.159
34,0.022,0.022
35,0.023,0.023
36,0.147,0.147
37,0.076,0.076
38,0.029,0.029
39,0.005,0.005
40,0.005,0.005
41,0.132,0.132
42,0.076,0.076
43,0.161,0.161
44,0.124,0.124
45,0.026,0.026
46,0.006,0.006
47,0.179,0.179
48,0.118,0.118
49,0.129,0.129
50,0.015,0.015
51,0.222,0.222
52,0.21,0.21
53,0.129,0.129
54,0.168,0.168
55,0.021,0.021
56,0.024,0.024
57,0.17,0.17
58,0.009,0.009
59,0.001,0.001
60,0.01,0.01
61,0.062,0.062
62,0.008,0.008
63,0.175,0.175
64,0.008,0.008
65,0.041,0.041
66,0.031,0.031
67,0.025,0.025
68,0.011,0.011
69,0.037,0.037
70,0.156,0.156
71,0.021,0.021
72,0.011,0.011
73,0.132,0.132
74,0.063,0.063
75,0.039,0.039
76,0.032,0.032
77,0.09,0.09
78,0.14,0.14
79,0.02,0.02
80,0.026,0.026
81,0.026,0.026
82,0.164,0.164
83,0.116,0.116
84,0.182,0.182
85,0.027,0.027
86,0.033,0.033
87,0.007,0.007
88,0.012,0.012
89,0.077,0.077
90,0.004,0.004
91,0.168,0.168
92,0.173,0.173
93,0.169,0.169
94,0.109,0.109
95,0.02,0.02
96,0.008,0.008
97,0.185,0.185
98,0.111,0.111
99,0.006,0.006
100,0.196,0.196
101,0.164,0.164
102,0.039,0.039
103,0.035,0.035
104,0.089,0.089
105,0.173,0.173
106,0.028,0.028
107,0.14,0.14
108,0.193,0.193
109,0.02,0.02
110,0.112,0.112
111,0.019,0.019
112,0.228,0.228
113,0.185,0.185
114,0.178,0.178
115,0.157,0.157
116,0.063,0.063
117,0.173,0.173
118,0.194,0.194
119,0.187,0.187
120,0.049,0.049
121,0.019,0.019
122,0.183,0.183
123,0.172,0.172
124,0.169,0.169
125,0.01,0.01
126,0.11,0.11
127,0.111,0.111
128,0.187,0.187
129,0.152,0.152
130,0.024,0.024
131,0.039,0.039
132,0.007,0.007
133,0.002,0.002
134,0.179,0.179
135,0.031,0.031
136,0.018,0.018
137,0.016,0.016
