index,Life Assessment,Total_Indicator
1,0.033,0.033
2,0.018,0.018
3,0.134,0.134
4,0.012,0.012
5,0.01,0.01
6,0.247,0.247
7,0.167,0.167
8,0.137,0.137
9,0.125,0.125
10,0.101,0.101
11,0.113,0.113
12,0.019,0.019
13,0.014,0.014
14,0.063,0.063
15,0.24,0.24
16,0.267,0.267
17,0.184,0.184
18,0.176,0.176
19,0.118,0.118
20,0.022,0.022
21,0.193,0.193
22,0.049,0.049
23,0.198,0.198
24,0.19,0.19
25,0.211,0.211
26,0.169,0.169
27,0.186,0.186
28,0.138,0.138
29,0.013,0.013
30,0.03,0.03
31,0.007,0.007
32,0.224,0.224
33,0.231,0.231
34,0.062,0.062
35,0.064,0.064
36,0.21,0.21
37,0.136,0.136
38,0.099,0.099
39,0.008,0.008
40,0.009,0.009
41,0.188,0.188
42,0.136,0.136
43,0.235,0.235
44,0.174,0.174
45,0.093,0.093
46,0.011,0.011
47,0.265,0.265
48,0.164,0.164
49,0.18,0.18
50,0.024,0.024
51,0.407,0.407
52,0.312,0.312
53,0.181,0.181
54,0.246,0.246
55,0.036,0.036
56,0.065,0.065
57,0.248,0.248
58,0.015,0.015
59,0.001,0.001
60,0.016,0.016
61,0.133,0.133
62,0.013,0.013
63,0.256,0.256
64,0.013,0.013
65,0.12,0.12
66,0.102,0.102
67,0.092,0.092
68,0.018,0.018
69,0.111,0.111
70,0.225,0.225
71,0.035,0.035
72,0.019,0.019
73,0.186,0.186
74,0.135,0.135
75,0.116,0.116
76,0.105,0.105
77,0.137,0.137
78,0.199,0.199
79,0.034,0.034
80,0.094,0.094
81,0.094,0.094
82,0.239,0.239
83,0.16,0.16
84,0.266,0.266
85,0.095,0.095
86,0.105,0.105
87,0.011,0.011
88,0.021,0.021
89,0.138,0.138
90,0.007,0.007
91,0.246,0.246
92,0.254,0.254
93,0.249,0.249
94,0.149,0.149
95,0.034,0.034
96,0.013,0.013
97,0.3,0.3
98,0.153,0.153
99,0.011,0.011
100,0.328,0.328
101,0.238,0.238
102,0.115,0.115
103,0.109,0.109
104,0.137,0.137
105,0.251,0.251
106,0.097,0.097
107,0.201,0.201
108,0.324,0.324
109,0.033,0.033
110,0.154,0.154
111,0.031,0.031
112,0.339,0.339
113,0.297,0.297
114,0.26,0.26
115,0.227,0.227
116,0.135,0.135
117,0.255,0.255
118,0.324,0.324
119,0.303,0.303
120,0.132,0.132
121,0.031,0.031
122,0.283,0.283
123,0.25,0.25
124,0.246,0.246
125,0.017,0.017
126,0.15,0.15
127,0.152,0.152
128,0.301,0.301
129,0.218,0.218
130,0.091,0.091
131,0.115,0.115
132,0.012,0.012
133,0.003,0.003
134,0.262,0.262
135,0.102,0.102
136,0.031,0.031
137,0.026,0.026
138,0.013,0.013
139,0.13,0.13
140,0.223,0.223
141,0.198,0.198
142,0.02,0.02
143,0.216,0.216
144,0.034,0.034
145,0.172,0.172
146,0.153,0.153
147,0.224,0.224
148,0.026,0.026
149,0.03,0.03
150,0.26,0.26
151,0.149,0.149
152,0.015,0.015
153,0.239,0.239
154,0.032,0.032
155,0.295,0.295
156,0.112,0.112
157,0.134,0.134
158,0.024,0.024
159,0.244,0.244
160,0.032,0.032
161,0.029,0.029
162,0.012,0.012
163,0.21,0.21
164,0.123,0.123
165,0.01,0.01
166,0.235,0.235
167,0.156,0.156
168,0.094,0.094
169,0.268,0.268
170,0.212,0.212
171,0.062,0.062
172,0.03,0.03
173,0.049,0.049
174,0.11,0.11
175,0.095,0.095
176,0.064,0.064
177,0.104,0.104
178,0.3,0.3
179,0.317,0.317
180,0.277,0.277
181,0.004,0.004
182,0.028,0.028
183,0.01,0.01
184,0.113,0.113
185,0.092,0.092
186,0.063,0.063
187,0.138,0.138
188,0.098,0.098
189,0.15,0.15
190,0.029,0.029
191,0.099,0.099
192,0.258,0.258
193,0.033,0.033
194,0.101,0.101
195,0.034,0.034
196,0.129,0.129
197,0.091,0.091
198,0.242,0.242
199,0.063,0.063
200,0.008,0.008
201,0.12,0.12
202,0.341,0.341
203,0.092,0.092
204,0.016,0.016
205,0.14,0.14
206,0.245,0.245
207,0.236,0.236
208,0.319,0.319
209,0.109,0.109
210,0.162,0.162
211,0.243,0.243
212,0.203,0.203
213,0.324,0.324
214,0.101,0.101
215,0.022,0.022
216,0.035,0.035
217,0.103,0.103
218,0.207,0.207
219,0.01,0.01
220,0.111,0.111
221,0.12,0.12
222,0.03,0.03
223,0.353,0.353
224,0.274,0.274
225,0.034,0.034
226,0.013,0.013
227,0.117,0.117
228,0.015,0.015
229,0.029,0.029
230,0.028,0.028
231,0.256,0.256
232,0.289,0.289
233,0.012,0.012
234,0.004,0.004
235,0.216,0.216
236,0.23,0.23
237,0.101,0.101
238,0.035,0.035
239,0.094,0.094
240,0.019,0.019
241,0.196,0.196
242,0.016,0.016
243,0.012,0.012
244,0.093,0.093
245,0.148,0.148
246,0.029,0.029
247,0.113,0.113
248,0.283,0.283
249,0.226,0.226
