index,Life Assessment,Total_Indicator
1,0.609,0.609
2,0.472,0.472
3,0.35,0.35
4,0.41,0.41
5,0.267,0.267
6,0.231,0.231
7,0.317,0.317
8,0.717,0.717
9,0.548,0.548
10,0.345,0.345
11,0.357,0.357
12,0.353,0.353
13,0.313,0.313
14,0.343,0.343
15,0.313,0.313
16,0.382,0.382
17,0.548,0.548
18,0.531,0.531
19,0.372,0.372
20,0.313,0.313
21,0.533,0.533
22,0.616,0.616
23,0.151,0.151
24,0.153,0.153
25,0.333,0.333
26,0.216,0.216
27,0.238,0.238
28,0.253,0.253
29,0.105,0.105
30,0.376,0.376
31,0.471,0.471
32,0.661,0.661
33,0.303,0.303
34,0.321,0.321
35,0.483,0.483
36,0.307,0.307
37,0.195,0.195
38,0.542,0.542
39,0.2,0.2
