index,Life Assessment,Total_Indicator
1,0.447,0.447
2,0.446,0.446
3,0.379,0.379
4,0.379,0.379
5,0.324,0.324
6,0.323,0.323
7,0.068,0.068
8,0.073,0.073
9,0.047,0.047
10,0.047,0.047
11,0.134,0.134
12,0.135,0.135
13,0.161,0.161
14,0.115,0.115
15,0.176,0.176
16,0.175,0.175
17,0.207,0.207
18,0.193,0.193
19,0.026,0.026
20,0.026,0.026
21,0.131,0.131
22,0.131,0.131
23,0.172,0.172
24,0.172,0.172
25,0.093,0.093
26,0.075,0.075
27,0.171,0.171
28,0.186,0.186
29,0.062,0.062
30,0.063,0.063
31,0.212,0.212
32,0.21,0.21
33,0.088,0.088
34,0.088,0.088
35,0.107,0.107
36,0.177,0.177
37,0.176,0.176
38,0.107,0.107
39,0.129,0.129
40,0.129,0.129
41,0.06,0.06
42,0.062,0.062
43,0.069,0.069
44,0.068,0.068
45,0.085,0.085
46,0.121,0.121
47,0.113,0.113
48,0.201,0.201
49,0.154,0.154
50,0.155,0.155
51,0.076,0.076
52,0.094,0.094
53,0.165,0.165
54,0.176,0.176
55,0.071,0.071
56,0.071,0.071
57,0.12,0.12
58,0.122,0.122
59,0.077,0.077
60,0.078,0.078
61,0.078,0.078
62,0.078,0.078
63,0.058,0.058
64,0.067,0.067
65,0.097,0.097
66,0.097,0.097
67,0.123,0.123
68,0.123,0.123
69,0.105,0.105
70,0.105,0.105
71,0.139,0.139
72,0.14,0.14
73,0.115,0.115
74,0.115,0.115
75,0.154,0.154
76,0.154,0.154
77,0.389,0.389
78,0.096,0.096
79,0.063,0.063
80,0.123,0.123
81,0.159,0.159
82,0.09,0.09
83,0.091,0.091
84,0.063,0.063
85,0.088,0.088
86,0.102,0.102
87,0.102,0.102
88,0.088,0.088
89,0.209,0.209
90,0.193,0.193
91,0.091,0.091
92,0.091,0.091
93,0.118,0.118
94,0.118,0.118
95,0.07,0.07
96,0.07,0.07
97,0.561,0.561
98,0.561,0.561
99,0.08,0.08
100,0.011,0.011
