index,Life Assessment,Total_Indicator
1,0.559,0.559
2,0.558,0.558
3,0.234,0.234
4,0.234,0.234
5,0.163,0.163
6,0.162,0.162
7,0.071,0.071
8,0.077,0.077
9,0.045,0.045
10,0.045,0.045
11,0.142,0.142
12,0.142,0.142
13,0.166,0.166
14,0.118,0.118
15,0.226,0.226
16,0.226,0.226
17,0.216,0.216
18,0.201,0.201
19,0.026,0.026
20,0.026,0.026
21,0.155,0.155
22,0.155,0.155
23,0.244,0.244
24,0.244,0.244
25,0.134,0.134
26,0.107,0.107
27,0.176,0.176
28,0.195,0.195
29,0.067,0.067
30,0.068,0.068
31,0.2,0.2
32,0.198,0.198
33,0.102,0.102
34,0.102,0.102
35,0.091,0.091
36,0.148,0.148
37,0.148,0.148
38,0.091,0.091
39,0.125,0.125
40,0.124,0.124
41,0.04,0.04
42,0.037,0.037
43,0.049,0.049
44,0.049,0.049
45,0.072,0.072
46,0.075,0.075
47,0.098,0.098
48,0.179,0.179
49,0.137,0.137
50,0.137,0.137
51,0.072,0.072
52,0.091,0.091
53,0.105,0.105
54,0.108,0.108
55,0.079,0.079
56,0.079,0.079
57,0.102,0.102
58,0.107,0.107
59,0.095,0.095
60,0.095,0.095
61,0.077,0.077
62,0.077,0.077
63,0.044,0.044
64,0.043,0.043
65,0.076,0.076
66,0.076,0.076
67,0.094,0.094
68,0.094,0.094
69,0.097,0.097
70,0.097,0.097
71,0.092,0.092
72,0.089,0.089
73,0.076,0.076
74,0.075,0.075
75,0.116,0.116
76,0.116,0.116
77,0.196,0.196
78,0.078,0.078
79,0.061,0.061
80,0.093,0.093
81,0.126,0.126
82,0.079,0.079
83,0.08,0.08
84,0.061,0.061
85,0.082,0.082
86,0.075,0.075
87,0.075,0.075
88,0.082,0.082
89,0.185,0.185
90,0.163,0.163
91,0.104,0.104
92,0.104,0.104
93,0.102,0.102
94,0.102,0.102
95,0.069,0.069
96,0.069,0.069
97,0.535,0.535
98,0.535,0.535
99,0.042,0.042
100,0.011,0.011
