index,Life Assessment,Total_Indicator,lat,long
1,0.602,0.602,,
2,0.07,0.07,,
3,0.07,0.07,,
4,0.07,0.07,,
5,0.004,0.004,,
6,0.16,0.16,,
7,0.001,0.001,,
8,0.0,0.0,,
9,0.0,0.0,,
10,0.102,0.102,,
11,0.23,0.23,,
12,0.001,0.001,,
13,0.002,0.002,,
14,0.0,0.0,,
15,0.226,0.226,,
16,0.213,0.213,,
17,0.004,0.004,,
18,0.099,0.099,,
19,0.001,0.001,,
20,0.136,0.136,,
21,0.005,0.005,,
22,0.003,0.003,,
23,0.001,0.001,,
24,0.134,0.134,,
25,0.225,0.225,,
26,0.002,0.002,,
27,0.004,0.004,,
28,0.001,0.001,,
29,0.219,0.219,,
30,0.005,0.005,,
31,0.004,0.004,,
32,0.001,0.001,,
33,0.161,0.161,,
34,0.002,0.002,,
35,0.001,0.001,,
36,0.007,0.007,,
37,0.035,0.035,,
38,0.225,0.225,,
39,0.0,0.0,,
40,0.003,0.003,,
41,0.214,0.214,,
42,0.003,0.003,,
43,0.228,0.228,,
44,0.0,0.0,,
45,0.151,0.151,,
46,0.001,0.001,,
47,0.005,0.005,,
48,0.004,0.004,,
49,0.002,0.002,,
50,0.0,0.0,,
51,0.002,0.002,,
52,0.0,0.0,,
53,0.008,0.008,,
54,0.006,0.006,,
55,0.008,0.008,,
56,0.008,0.008,,
57,0.003,0.003,,
58,0.214,0.214,,
59,0.223,0.223,,
60,0.0,0.0,,
61,0.004,0.004,,
62,0.0,0.0,,
63,0.001,0.001,,
64,0.002,0.002,,
65,0.001,0.001,,
66,0.001,0.001,,
67,0.006,0.006,,
68,0.003,0.003,,
69,0.001,0.001,,
70,0.001,0.001,,
71,0.002,0.002,,
72,0.006,0.006,,
73,0.217,0.217,,
74,0.003,0.003,,
75,0.214,0.214,,
76,0.001,0.001,,
77,0.217,0.217,,
78,0.003,0.003,,
79,0.222,0.222,,
80,0.214,0.214,,
81,0.215,0.215,,
82,0.004,0.004,,
83,0.179,0.179,,
84,0.003,0.003,,
85,0.001,0.001,,
86,0.154,0.154,,
87,0.001,0.001,,
88,0.006,0.006,,
89,0.001,0.001,,
90,0.003,0.003,,
91,0.001,0.001,,
92,0.001,0.001,,
93,0.003,0.003,,
94,0.0,0.0,,
95,0.005,0.005,,
96,0.01,0.01,,
97,0.001,0.001,,
98,0.002,0.002,,
99,0.032,0.032,,
100,0.003,0.003,,
101,0.004,0.004,,
102,0.001,0.001,,
103,0.005,0.005,,
104,0.006,0.006,,
105,0.005,0.005,,
106,0.002,0.002,,
107,0.001,0.001,,
108,0.133,0.133,,
109,0.008,0.008,,
110,0.005,0.005,,
111,0.142,0.142,,
112,0.006,0.006,,
113,0.151,0.151,,
114,0.152,0.152,,
115,0.0,0.0,,
116,0.007,0.007,,
117,0.007,0.007,,
118,0.009,0.009,,
119,0.004,0.004,,
120,0.001,0.001,,
121,0.004,0.004,,
122,0.007,0.007,,
123,0.003,0.003,,
124,0.17,0.17,,
125,0.001,0.001,,
126,0.005,0.005,,
127,0.159,0.159,,
128,0.166,0.166,,
129,0.002,0.002,,
130,0.001,0.001,,
131,0.0,0.0,,
132,0.007,0.007,,
133,0.007,0.007,,
134,0.004,0.004,,
135,0.004,0.004,,
136,0.215,0.215,,
137,0.083,0.083,,
138,0.008,0.008,,
139,0.133,0.133,,
140,0.216,0.216,,
141,0.218,0.218,,
142,0.232,0.232,,
143,0.218,0.218,,
144,0.22,0.22,,
145,0.218,0.218,,
146,0.4,0.4,,
147,0.002,0.002,,
148,0.161,0.161,,
149,0.0,0.0,,
150,0.001,0.001,,
151,0.004,0.004,,
152,0.002,0.002,,
153,0.217,0.217,,
154,0.079,0.079,,
155,0.0,0.0,,
156,0.001,0.001,,
157,0.005,0.005,,
158,0.001,0.001,,
159,0.005,0.005,,
160,0.002,0.002,,
161,0.003,0.003,,
162,0.171,0.171,,
163,0.003,0.003,,
164,0.003,0.003,,
165,0.216,0.216,,
166,0.003,0.003,,
167,0.001,0.001,,
168,0.004,0.004,,
169,0.002,0.002,,
170,0.046,0.046,,
171,0.003,0.003,,
172,0.001,0.001,,
173,0.004,0.004,,
174,0.205,0.205,,
175,0.084,0.084,,
176,0.001,0.001,,
177,0.219,0.219,,
178,0.23,0.23,,
179,0.187,0.187,,
180,0.231,0.231,,
181,0.228,0.228,,
182,0.256,0.256,,
183,0.004,0.004,,
184,0.004,0.004,,
185,0.084,0.084,,
186,0.0,0.0,,
187,0.003,0.003,,
188,0.22,0.22,,
189,0.216,0.216,,
190,0.001,0.001,,
191,0.0,0.0,,
192,0.221,0.221,,
193,0.003,0.003,,
194,0.221,0.221,,
195,0.22,0.22,,
196,0.001,0.001,,
197,0.0,0.0,,
198,0.222,0.222,,
199,0.005,0.005,,
200,0.0,0.0,,
201,0.002,0.002,,
202,0.003,0.003,,
203,0.001,0.001,,
204,0.161,0.161,,
205,0.006,0.006,,
206,0.057,0.057,,
207,0.002,0.002,,
208,0.001,0.001,,
209,0.216,0.216,,
210,0.226,0.226,,
211,0.218,0.218,,
212,0.008,0.008,,
213,0.197,0.197,,
214,0.003,0.003,,
215,0.006,0.006,,
216,0.005,0.005,,
217,0.008,0.008,,
218,0.003,0.003,,
219,0.0,0.0,,
220,0.224,0.224,,
