index,Life Assessment,Total_Indicator,lat,long
416,0.008,0.008,,
417,0.0,0.0,,
418,0.007,0.007,,
419,0.0,0.0,,
420,0.003,0.003,,
421,0.005,0.005,,
422,0.216,0.216,,
423,0.003,0.003,,
424,0.003,0.003,,
425,0.006,0.006,,
426,0.001,0.001,,
427,0.008,0.008,,
428,0.004,0.004,,
429,0.001,0.001,,
430,0.006,0.006,,
431,0.001,0.001,,
432,0.001,0.001,,
433,0.002,0.002,,
434,0.194,0.194,,
435,0.105,0.105,,
436,0.106,0.106,,
437,0.102,0.102,,
438,0.102,0.102,,
439,0.101,0.101,,
