name,cost_failure,customers_affected,value_lost_load
2,5269.056,228.457,2303262.905
5,6494.747,284.446,2597024.921
8,5219.002,225.428,1932891.902
11,4671.107,201.536,1501151.154
13,1429.909,41.221,0.0
14,4788.346,207.699,1703343.597
15,2011.542,89.478,677777.189
19,7926.068,338.695,3525133.058
21,2789.511,0.0,292653.367
24,4499.354,120.52,919217.81
25,5753.904,194.203,936357.296
28,7788.351,340.486,4162848.88
32,4206.441,182.548,1821929.43
33,3968.282,170.993,1266389.327
38,3040.009,132.944,741205.148
39,10289.368,447.856,2311907.565
42,3677.796,143.812,2727453.988
44,9494.943,416.623,1864042.333
46,112.658,2.464,728560.467
47,5055.865,0.0,841809.508
48,13907.001,217.552,1461483.737
51,4309.003,248.793,1638613.206
52,2342.536,603.615,2662246.064
53,6073.747,100.663,815399.536
54,3630.01,172.781,1797119.396
55,7752.417,2.457,307247.444
56,3628.551,100.8,634657.87
57,4486.211,264.558,1383203.223
58,55.711,341.346,1572432.932
59,3823.237,196.725,1039325.46
60,83.823,132.266,2259753.886
61,3672.142,1.231,1397.634
62,1628.329,166.721,1281754.302
73,1458.955,0.0,443204.547
74_1,3628.49,207.811,1948413.11
74_2,5747.393,204.576,0.0
81,1326.99,3.673,480012.156
88,169.077,62.553,250863.841
12,7204.499,299.156,2172542.044
72,7184.984,244.961,1625708.586
