name,age_years,H1_fail_prob,H2_criticality,H3_energy
2,21,0.698,5.198,907034.533
5,21,0.525,11.413,1061362.432
8,21,0.308,1.037,643757.654
11,21,0.868,3.109,551355.144
13,21,0.711,21.784,0.0
14,21,0.633,4.155,667828.922
15,21,0.374,0.0,224663.4
19,21,0.64,14.499,1634162.635
21,21,0.848,0.0,201517.754
24,21,0.821,0.0,309932.776
25,21,0.327,1.04,313017.169
28,21,0.611,4.141,1539904.795
32,21,0.677,4.155,635534.853
33,21,0.316,1.038,440263.632
38,21,0.319,0.0,246776.634
39,21,0.309,1.04,802700.65
42,21,0.693,15.546,1325123.882
44,21,0.47,1.034,612627.433
46,21,0.342,2.075,504040.815
47,21,0.325,0.0,579263.9
48,21,0.691,1.038,533985.371
51,21,0.585,2.077,593779.092
52,21,0.554,1.039,859708.614
53,21,0.324,0.0,265778.208
54,21,0.685,14.501,764832.07
55,21,0.878,1.039,239812.205
56,21,0.295,0.0,214171.663
57,21,0.694,2.073,474788.527
58,21,0.302,5.193,614650.157
59,21,0.328,8.295,437006.055
60,21,0.614,4.137,1186713.645
61,21,0.761,1.036,961.721
62,21,0.341,5.18,533291.091
73,21,0.265,0.0,305617.046
74_1,21,0.678,15.524,920003.992
74_2,21,0.296,15.548,0.0
81,21,0.544,3.118,330745.66
88,21,0.367,0.0,79607.684
12,21,0.571,41.435,760426.935
72,21,0.866,10.349,652646.9
