name,external_condition,cost_failure
2,2.082,5047.172
5,2.074,6183.187
8,3.122,4993.605
11,2.079,4465.85
13,2.074,1372.506
14,2.097,4562.305
15,3.13,1927.295
19,2.06,7582.48
21,2.062,2653.106
24,2.082,4292.759
25,3.126,5491.902
28,1.038,7424.159
32,2.077,4025.228
33,3.14,3772.019
38,3.099,2893.664
39,3.128,9721.925
42,2.072,3487.958
44,3.115,9052.861
46,3.122,107.159
47,3.118,4831.465
48,2.077,13262.805
51,2.073,4148.681
52,2.085,2225.551
53,3.103,5807.098
54,2.068,3464.25
55,2.089,7397.198
56,3.107,3461.981
57,2.086,4283.603
58,3.104,52.988
59,3.137,3642.405
60,2.064,79.861
61,2.07,3520.523
62,3.096,1544.449
73,3.103,1394.668
74_1,2.064,3454.681
74_2,3.11,5487.826
81,2.075,1262.074
88,3.123,161.56
12,2.071,6833.458
72,2.081,6839.517
