index,Life Assessment,Total_Indicator
319,0.007,0.007
320,0.004,0.004
321,0.003,0.003
322,0.007,0.007
323,0.007,0.007
324,0.008,0.008
325,0.068,0.068
326,0.016,0.016
327,0.033,0.033
328,0.038,0.038
329,0.039,0.039
330,0.098,0.098
331,0.31,0.31
332,0.055,0.055
333,0.244,0.244
334,0.244,0.244
335,0.092,0.092
336,0.098,0.098
337,0.094,0.094
338,0.334,0.334
339,0.09,0.09
340,0.099,0.099
341,0.099,0.099
342,0.451,0.451
343,0.092,0.092
344,0.013,0.013
345,0.008,0.008
346,0.008,0.008
347,0.062,0.062
348,0.115,0.115
349,0.062,0.062
350,0.018,0.018
351,0.029,0.029
352,0.034,0.034
353,0.018,0.018
354,0.113,0.113
355,0.115,0.115
356,0.024,0.024
357,0.049,0.049
358,0.024,0.024
359,0.237,0.237
360,0.237,0.237
361,0.237,0.237
362,0.237,0.237
363,0.237,0.237
364,0.221,0.221
365,0.007,0.007
366,0.007,0.007
367,0.007,0.007
368,0.007,0.007
369,0.012,0.012
370,0.008,0.008
371,0.008,0.008
372,0.008,0.008
373,0.008,0.008
374,0.06,0.06
375,0.362,0.362
376,0.351,0.351
377,0.365,0.365
378,0.363,0.363
379,0.056,0.056
380,0.036,0.036
381,0.026,0.026
382,0.026,0.026
383,0.026,0.026
384,0.024,0.024
385,0.057,0.057
386,0.057,0.057
387,0.036,0.036
388,0.008,0.008
389,0.025,0.025
390,0.024,0.024
391,0.024,0.024
392,0.024,0.024
393,0.024,0.024
394,0.007,0.007
395,0.024,0.024
396,0.111,0.111
397,0.025,0.025
398,0.026,0.026
399,0.025,0.025
400,0.025,0.025
401,0.112,0.112
402,0.112,0.112
403,0.087,0.087
404,0.087,0.087
405,0.025,0.025
406,0.023,0.023
407,0.023,0.023
408,0.098,0.098
409,0.087,0.087
410,0.087,0.087
411,0.023,0.023
412,0.025,0.025
413,0.036,0.036
414,0.025,0.025
415,0.025,0.025
416,0.008,0.008
417,0.007,0.007
418,0.035,0.035
419,0.035,0.035
420,0.036,0.036
421,0.037,0.037
422,0.024,0.024
423,0.024,0.024
424,0.113,0.113
425,0.113,0.113
426,0.113,0.113
427,0.116,0.116
428,0.116,0.116
429,0.268,0.268
430,0.209,0.209
431,0.268,0.268
432,0.113,0.113
433,0.113,0.113
434,0.068,0.068
435,0.111,0.111
436,0.037,0.037
437,0.037,0.037
438,0.06,0.06
439,0.06,0.06
440,0.008,0.008
441,0.025,0.025
442,0.111,0.111
443,0.111,0.111
444,0.26,0.26
445,0.038,0.038
446,0.038,0.038
447,0.112,0.112
448,0.111,0.111
449,0.026,0.026
450,0.026,0.026
451,0.036,0.036
452,0.036,0.036
453,0.037,0.037
454,0.037,0.037
455,0.036,0.036
456,0.035,0.035
457,0.035,0.035
458,0.035,0.035
459,0.038,0.038
460,0.038,0.038
461,0.111,0.111
462,0.111,0.111
463,0.028,0.028
464,0.11,0.11
465,0.11,0.11
466,0.038,0.038
467,0.038,0.038
468,0.027,0.027
469,0.01,0.01
470,0.01,0.01
471,0.027,0.027
472,0.112,0.112
473,0.111,0.111
474,0.036,0.036
475,0.037,0.037
476,0.027,0.027
477,0.027,0.027
478,0.027,0.027
479,0.111,0.111
480,0.111,0.111
481,0.024,0.024
482,0.039,0.039
483,0.024,0.024
484,0.036,0.036
485,0.036,0.036
486,0.036,0.036
487,0.038,0.038
488,0.038,0.038
489,0.038,0.038
490,0.023,0.023
491,0.024,0.024
492,0.035,0.035
493,0.026,0.026
494,0.026,0.026
495,0.026,0.026
496,0.027,0.027
497,0.111,0.111
498,0.111,0.111
499,0.111,0.111
500,0.2,0.2
501,0.282,0.282
502,0.035,0.035
503,0.024,0.024
504,0.035,0.035
505,0.036,0.036
506,0.022,0.022
507,0.022,0.022
508,0.035,0.035
509,0.04,0.04
510,0.04,0.04
511,0.04,0.04
512,0.111,0.111
513,0.111,0.111
514,0.023,0.023
515,0.035,0.035
516,0.037,0.037
517,0.039,0.039
518,0.039,0.039
519,0.039,0.039
520,0.037,0.037
521,0.037,0.037
522,0.038,0.038
523,0.168,0.168
524,0.024,0.024
525,0.024,0.024
526,0.007,0.007
527,0.151,0.151
528,0.068,0.068
529,0.026,0.026
530,0.026,0.026
531,0.025,0.025
532,0.026,0.026
533,0.026,0.026
534,0.039,0.039
535,0.039,0.039
536,0.037,0.037
537,0.037,0.037
538,0.112,0.112
539,0.038,0.038
540,0.038,0.038
541,0.026,0.026
542,0.026,0.026
543,0.038,0.038
544,0.038,0.038
545,0.037,0.037
546,0.037,0.037
547,0.026,0.026
548,0.035,0.035
549,0.035,0.035
550,0.183,0.183
551,0.198,0.198
552,0.198,0.198
553,0.198,0.198
554,0.025,0.025
555,0.025,0.025
556,0.026,0.026
557,0.027,0.027
558,0.038,0.038
559,0.038,0.038
560,0.037,0.037
561,0.037,0.037
562,0.037,0.037
563,0.038,0.038
564,0.038,0.038
565,0.038,0.038
566,0.036,0.036
567,0.036,0.036
568,0.038,0.038
569,0.038,0.038
570,0.037,0.037
571,0.036,0.036
572,0.036,0.036
573,0.037,0.037
574,0.037,0.037
575,0.038,0.038
576,0.035,0.035
577,0.035,0.035
578,0.037,0.037
579,0.037,0.037
580,0.036,0.036
581,0.036,0.036
582,0.037,0.037
583,0.037,0.037
584,0.035,0.035
585,0.035,0.035
586,0.036,0.036
587,0.036,0.036
588,0.112,0.112
589,0.198,0.198
590,0.035,0.035
591,0.035,0.035
592,0.035,0.035
