index,Life Assessment,Total_Indicator
1,0.019,0.019
2,0.016,0.016
3,0.016,0.016
4,0.059,0.059
5,0.059,0.059
6,0.034,0.034
7,0.054,0.054
8,0.039,0.039
9,0.059,0.059
10,0.039,0.039
11,0.044,0.044
12,0.044,0.044
13,0.048,0.048
14,0.045,0.045
15,0.045,0.045
16,0.059,0.059
17,0.059,0.059
18,0.059,0.059
19,0.059,0.059
20,0.045,0.045
21,0.045,0.045
22,0.045,0.045
23,0.045,0.045
24,0.059,0.059
25,0.059,0.059
26,0.058,0.058
27,0.047,0.047
28,0.047,0.047
29,0.059,0.059
30,0.054,0.054
31,0.054,0.054
32,0.059,0.059
33,0.047,0.047
34,0.045,0.045
35,0.045,0.045
36,0.025,0.025
37,0.025,0.025
38,0.322,0.322
39,0.023,0.023
40,0.046,0.046
41,0.064,0.064
42,0.026,0.026
43,0.223,0.223
44,0.062,0.062
45,0.237,0.237
46,0.203,0.203
47,0.204,0.204
48,0.047,0.047
49,0.045,0.045
50,0.063,0.063
51,0.063,0.063
52,0.064,0.064
53,0.089,0.089
54,0.02,0.02
55,0.06,0.06
56,0.06,0.06
57,0.06,0.06
58,0.131,0.131
59,0.156,0.156
60,0.066,0.066
61,0.066,0.066
62,0.061,0.061
63,0.046,0.046
64,0.046,0.046
65,0.057,0.057
66,0.027,0.027
67,0.027,0.027
68,0.047,0.047
69,0.045,0.045
70,0.045,0.045
71,0.045,0.045
72,0.045,0.045
73,0.128,0.128
74,0.06,0.06
75,0.023,0.023
76,0.022,0.022
77,0.066,0.066
78,0.066,0.066
79,0.06,0.06
80,0.127,0.127
81,0.065,0.065
82,0.065,0.065
83,0.045,0.045
84,0.076,0.076
85,0.075,0.075
86,0.076,0.076
87,0.07,0.07
88,0.289,0.289
89,0.289,0.289
90,0.04,0.04
91,0.04,0.04
92,0.04,0.04
93,0.125,0.125
94,0.308,0.308
95,0.338,0.338
96,0.081,0.081
97,0.338,0.338
98,0.267,0.267
99,0.125,0.125
100,0.355,0.355
101,0.139,0.139
102,0.21,0.21
103,0.28,0.28
104,0.104,0.104
105,0.057,0.057
106,0.351,0.351
107,0.101,0.101
108,0.117,0.117
109,0.158,0.158
110,0.251,0.251
111,0.251,0.251
112,0.139,0.139
113,0.118,0.118
114,0.1,0.1
115,0.1,0.1
116,0.154,0.154
117,0.091,0.091
118,0.092,0.092
119,0.091,0.091
120,0.104,0.104
121,0.121,0.121
122,0.195,0.195
123,0.194,0.194
124,0.054,0.054
125,0.358,0.358
126,0.358,0.358
127,0.208,0.208
128,0.208,0.208
129,0.122,0.122
130,0.111,0.111
131,0.111,0.111
132,0.095,0.095
133,0.125,0.125
134,0.087,0.087
135,0.347,0.347
136,0.096,0.096
137,0.245,0.245
138,0.093,0.093
139,0.101,0.101
140,0.102,0.102
141,0.102,0.102
142,0.096,0.096
143,0.096,0.096
144,0.357,0.357
145,0.362,0.362
146,0.444,0.444
147,0.352,0.352
148,0.357,0.357
149,0.194,0.194
150,0.143,0.143
151,0.096,0.096
152,0.056,0.056
153,0.095,0.095
154,0.096,0.096
155,0.103,0.103
156,0.197,0.197
157,0.193,0.193
158,0.21,0.21
159,0.253,0.253
160,0.354,0.354
161,0.093,0.093
162,0.309,0.309
163,0.193,0.193
164,0.094,0.094
165,0.095,0.095
166,0.193,0.193
167,0.097,0.097
168,0.266,0.266
169,0.102,0.102
170,0.101,0.101
171,0.1,0.1
172,0.1,0.1
173,0.1,0.1
174,0.1,0.1
175,0.191,0.191
176,0.301,0.301
177,0.105,0.105
178,0.091,0.091
179,0.093,0.093
180,0.184,0.184
181,0.1,0.1
182,0.162,0.162
183,0.166,0.166
184,0.1,0.1
185,0.053,0.053
186,0.053,0.053
187,0.053,0.053
188,0.168,0.168
189,0.347,0.347
190,0.093,0.093
191,0.092,0.092
192,0.272,0.272
193,0.101,0.101
194,0.323,0.323
195,0.096,0.096
196,0.092,0.092
197,0.194,0.194
198,0.31,0.31
199,0.193,0.193
200,0.088,0.088
201,0.124,0.124
202,0.092,0.092
203,0.042,0.042
204,0.041,0.041
205,0.182,0.182
206,0.182,0.182
207,0.094,0.094
208,0.095,0.095
209,0.095,0.095
210,0.093,0.093
211,0.208,0.208
212,0.208,0.208
213,0.095,0.095
214,0.095,0.095
215,0.195,0.195
216,0.094,0.094
217,0.102,0.102
218,0.102,0.102
219,0.094,0.094
220,0.094,0.094
221,0.101,0.101
222,0.101,0.101
223,0.195,0.195
224,0.194,0.194
225,0.099,0.099
226,0.1,0.1
227,0.1,0.1
228,0.092,0.092
229,0.357,0.357
230,0.36,0.36
231,0.36,0.36
232,0.357,0.357
233,0.357,0.357
234,0.362,0.362
235,0.36,0.36
236,0.624,0.624
237,0.359,0.359
238,0.626,0.626
239,0.366,0.366
240,0.624,0.624
241,0.362,0.362
242,0.633,0.633
243,0.623,0.623
244,0.358,0.358
245,0.359,0.359
246,0.621,0.621
247,0.622,0.622
248,0.366,0.366
249,0.356,0.356
250,0.353,0.353
251,0.355,0.355
252,0.36,0.36
253,0.357,0.357
254,0.422,0.422
255,0.365,0.365
256,0.454,0.454
257,0.454,0.454
258,0.353,0.353
259,0.637,0.637
260,0.36,0.36
261,0.364,0.364
262,0.364,0.364
263,0.363,0.363
264,0.365,0.365
265,0.365,0.365
266,0.36,0.36
267,0.361,0.361
268,0.451,0.451
269,0.36,0.36
270,0.36,0.36
271,0.45,0.45
272,0.451,0.451
273,0.45,0.45
274,0.534,0.534
275,0.622,0.622
276,0.36,0.36
277,0.36,0.36
278,0.362,0.362
279,0.62,0.62
280,0.363,0.363
281,0.62,0.62
282,0.247,0.247
283,0.395,0.395
284,0.363,0.363
285,0.082,0.082
286,0.169,0.169
287,0.387,0.387
288,0.387,0.387
289,0.563,0.563
290,0.366,0.366
291,0.562,0.562
292,0.359,0.359
293,0.389,0.389
294,0.183,0.183
295,0.364,0.364
296,0.655,0.655
297,0.135,0.135
298,0.364,0.364
299,0.364,0.364
300,0.359,0.359
301,0.451,0.451
302,0.359,0.359
303,0.36,0.36
304,0.362,0.362
305,0.349,0.349
306,0.36,0.36
307,0.478,0.478
308,0.36,0.36
309,0.411,0.411
310,0.357,0.357
311,0.359,0.359
312,0.013,0.013
313,0.03,0.03
314,0.018,0.018
315,0.019,0.019
316,0.226,0.226
317,0.225,0.225
318,0.297,0.297
319,0.264,0.264
320,0.004,0.004
321,0.003,0.003
322,0.007,0.007
323,0.263,0.263
324,0.008,0.008
325,0.068,0.068
326,0.016,0.016
327,0.034,0.034
328,0.038,0.038
329,0.039,0.039
330,0.099,0.099
331,0.31,0.31
332,0.056,0.056
333,0.246,0.246
334,0.245,0.245
335,0.092,0.092
336,0.098,0.098
337,0.094,0.094
338,0.334,0.334
339,0.09,0.09
340,0.1,0.1
341,0.099,0.099
342,0.451,0.451
343,0.094,0.094
344,0.013,0.013
345,0.009,0.009
346,0.009,0.009
347,0.121,0.121
348,0.087,0.087
349,0.121,0.121
350,0.019,0.019
351,0.03,0.03
352,0.121,0.121
353,0.019,0.019
354,0.085,0.085
355,0.087,0.087
356,0.227,0.227
357,0.225,0.225
358,0.226,0.226
359,0.237,0.237
360,0.237,0.237
361,0.237,0.237
362,0.237,0.237
363,0.237,0.237
364,0.221,0.221
365,0.264,0.264
366,0.263,0.263
367,0.263,0.263
368,0.007,0.007
369,0.012,0.012
370,0.008,0.008
371,0.008,0.008
372,0.008,0.008
373,0.008,0.008
374,0.061,0.061
375,0.365,0.365
376,0.351,0.351
377,0.618,0.618
378,0.366,0.366
379,0.057,0.057
380,0.036,0.036
381,0.025,0.025
382,0.025,0.025
383,0.025,0.025
384,0.023,0.023
385,0.058,0.058
386,0.058,0.058
387,0.036,0.036
388,0.009,0.009
389,0.026,0.026
390,0.024,0.024
391,0.024,0.024
392,0.027,0.027
393,0.026,0.026
394,0.01,0.01
395,0.026,0.026
396,0.112,0.112
397,0.024,0.024
398,0.024,0.024
399,0.024,0.024
400,0.024,0.024
401,0.111,0.111
402,0.111,0.111
403,0.09,0.09
404,0.09,0.09
405,0.026,0.026
406,0.023,0.023
407,0.022,0.022
408,0.098,0.098
409,0.089,0.089
410,0.089,0.089
411,0.022,0.022
412,0.024,0.024
413,0.037,0.037
414,0.026,0.026
415,0.026,0.026
416,0.154,0.154
417,0.124,0.124
418,0.037,0.037
419,0.037,0.037
420,0.037,0.037
421,0.037,0.037
422,0.026,0.026
423,0.026,0.026
424,0.141,0.141
425,0.141,0.141
426,0.113,0.113
427,0.37,0.37
428,0.37,0.37
429,0.281,0.281
430,0.275,0.275
431,0.281,0.281
432,0.113,0.113
433,0.113,0.113
434,0.096,0.096
435,0.112,0.112
436,0.037,0.037
437,0.037,0.037
438,0.062,0.062
439,0.062,0.062
440,0.009,0.009
441,0.025,0.025
442,0.113,0.113
443,0.113,0.113
444,0.304,0.304
445,0.039,0.039
446,0.039,0.039
447,0.112,0.112
