index,Life Assessment,Total_Indicator
1,0.019,0.019
2,0.016,0.016
3,0.016,0.016
4,0.059,0.059
5,0.059,0.059
6,0.034,0.034
7,0.054,0.054
8,0.039,0.039
9,0.059,0.059
10,0.04,0.04
11,0.045,0.045
12,0.044,0.044
13,0.049,0.049
14,0.045,0.045
15,0.045,0.045
16,0.059,0.059
17,0.059,0.059
18,0.059,0.059
19,0.059,0.059
20,0.045,0.045
21,0.045,0.045
22,0.045,0.045
23,0.045,0.045
24,0.059,0.059
25,0.059,0.059
26,0.058,0.058
27,0.048,0.048
28,0.048,0.048
29,0.059,0.059
30,0.055,0.055
31,0.055,0.055
32,0.059,0.059
33,0.048,0.048
34,0.045,0.045
35,0.045,0.045
36,0.026,0.026
37,0.026,0.026
38,0.324,0.324
39,0.023,0.023
40,0.047,0.047
41,0.065,0.065
42,0.026,0.026
43,0.224,0.224
44,0.062,0.062
45,0.237,0.237
46,0.204,0.204
47,0.204,0.204
48,0.049,0.049
49,0.045,0.045
50,0.064,0.064
51,0.064,0.064
52,0.064,0.064
53,0.089,0.089
54,0.02,0.02
55,0.061,0.061
56,0.061,0.061
57,0.06,0.06
58,0.132,0.132
59,0.157,0.157
60,0.067,0.067
61,0.067,0.067
62,0.061,0.061
63,0.047,0.047
64,0.047,0.047
65,0.058,0.058
66,0.027,0.027
67,0.027,0.027
68,0.048,0.048
69,0.045,0.045
70,0.045,0.045
71,0.045,0.045
72,0.045,0.045
73,0.129,0.129
74,0.06,0.06
75,0.023,0.023
76,0.022,0.022
77,0.066,0.066
78,0.066,0.066
79,0.06,0.06
80,0.127,0.127
81,0.066,0.066
82,0.066,0.066
83,0.045,0.045
84,0.076,0.076
85,0.075,0.075
86,0.076,0.076
87,0.07,0.07
88,0.484,0.484
89,0.54,0.54
90,0.04,0.04
91,0.04,0.04
92,0.04,0.04
93,0.126,0.126
94,0.338,0.338
95,0.34,0.34
96,0.194,0.194
97,0.34,0.34
98,0.325,0.325
99,0.126,0.126
100,0.357,0.357
101,0.196,0.196
102,0.267,0.267
103,0.281,0.281
104,0.105,0.105
105,0.057,0.057
106,0.352,0.352
107,0.101,0.101
108,0.229,0.229
109,0.187,0.187
110,0.252,0.252
111,0.252,0.252
112,0.167,0.167
113,0.118,0.118
114,0.1,0.1
115,0.1,0.1
116,0.154,0.154
117,0.091,0.091
118,0.092,0.092
119,0.092,0.092
120,0.104,0.104
121,0.121,0.121
122,0.196,0.196
123,0.194,0.194
124,0.054,0.054
125,0.36,0.36
126,0.36,0.36
127,0.209,0.209
128,0.209,0.209
129,0.122,0.122
130,0.111,0.111
131,0.111,0.111
132,0.096,0.096
133,0.238,0.238
134,0.087,0.087
135,0.349,0.349
136,0.18,0.18
137,0.246,0.246
138,0.093,0.093
139,0.102,0.102
140,0.103,0.103
141,0.103,0.103
142,0.153,0.153
143,0.153,0.153
144,0.36,0.36
145,0.365,0.365
146,0.446,0.446
147,0.353,0.353
148,0.358,0.358
149,0.195,0.195
150,0.144,0.144
151,0.097,0.097
152,0.056,0.056
153,0.097,0.097
154,0.097,0.097
155,0.16,0.16
156,0.198,0.198
157,0.193,0.193
158,0.239,0.239
159,0.394,0.394
160,0.357,0.357
161,0.094,0.094
162,0.309,0.309
163,0.193,0.193
164,0.094,0.094
165,0.095,0.095
166,0.193,0.193
167,0.182,0.182
168,0.324,0.324
169,0.103,0.103
170,0.102,0.102
171,0.1,0.1
172,0.1,0.1
173,0.1,0.1
174,0.1,0.1
175,0.191,0.191
176,0.304,0.304
177,0.105,0.105
178,0.091,0.091
179,0.093,0.093
180,0.184,0.184
181,0.1,0.1
182,0.162,0.162
183,0.166,0.166
184,0.128,0.128
185,0.053,0.053
186,0.053,0.053
187,0.053,0.053
188,0.168,0.168
189,0.35,0.35
190,0.093,0.093
191,0.093,0.093
192,0.357,0.357
193,0.102,0.102
194,0.353,0.353
195,0.097,0.097
196,0.092,0.092
197,0.194,0.194
198,0.31,0.31
199,0.193,0.193
200,0.088,0.088
201,0.125,0.125
202,0.093,0.093
203,0.042,0.042
204,0.041,0.041
205,0.35,0.35
206,0.35,0.35
207,0.095,0.095
208,0.096,0.096
209,0.097,0.097
210,0.094,0.094
211,0.209,0.209
212,0.209,0.209
213,0.096,0.096
214,0.096,0.096
215,0.196,0.196
216,0.122,0.122
217,0.103,0.103
218,0.103,0.103
219,0.094,0.094
220,0.094,0.094
221,0.241,0.241
222,0.241,0.241
223,0.195,0.195
224,0.194,0.194
225,0.099,0.099
226,0.1,0.1
227,0.1,0.1
228,0.121,0.121
229,0.359,0.359
230,0.36,0.36
231,0.36,0.36
232,0.357,0.357
233,0.358,0.358
234,0.363,0.363
235,0.361,0.361
236,0.627,0.627
237,0.359,0.359
238,0.63,0.63
239,0.422,0.422
240,0.627,0.627
241,0.363,0.363
242,0.638,0.638
243,0.626,0.626
244,0.359,0.359
245,0.472,0.472
246,0.623,0.623
247,0.624,0.624
248,0.422,0.422
249,0.357,0.357
250,0.354,0.354
251,0.356,0.356
252,0.361,0.361
253,0.358,0.358
254,0.422,0.422
255,0.393,0.393
256,0.454,0.454
257,0.455,0.455
258,0.353,0.353
259,0.644,0.644
260,0.361,0.361
261,0.365,0.365
262,0.365,0.365
263,0.364,0.364
264,0.393,0.393
265,0.393,0.393
266,0.361,0.361
267,0.361,0.361
268,0.451,0.451
269,0.36,0.36
270,0.36,0.36
271,0.451,0.451
272,0.451,0.451
273,0.45,0.45
274,0.564,0.564
275,0.624,0.624
276,0.36,0.36
277,0.36,0.36
278,0.362,0.362
279,0.622,0.622
280,0.363,0.363
281,0.622,0.622
282,0.248,0.248
283,0.4,0.4
284,0.363,0.363
285,0.082,0.082
286,0.17,0.17
287,0.387,0.387
288,0.387,0.387
289,0.62,0.62
290,0.423,0.423
291,0.62,0.62
292,0.359,0.359
293,0.393,0.393
294,0.184,0.184
295,0.365,0.365
296,0.655,0.655
297,0.136,0.136
298,0.365,0.365
299,0.365,0.365
300,0.359,0.359
301,0.451,0.451
302,0.359,0.359
303,0.36,0.36
304,0.362,0.362
305,0.349,0.349
306,0.36,0.36
307,0.48,0.48
308,0.36,0.36
309,0.411,0.411
310,0.357,0.357
311,0.359,0.359
312,0.013,0.013
313,0.031,0.031
314,0.018,0.018
315,0.019,0.019
316,0.288,0.288
317,0.286,0.286
318,0.312,0.312
319,0.268,0.268
320,0.005,0.005
321,0.003,0.003
322,0.008,0.008
323,0.268,0.268
324,0.008,0.008
325,0.068,0.068
326,0.016,0.016
327,0.034,0.034
328,0.038,0.038
329,0.039,0.039
330,0.099,0.099
331,0.31,0.31
332,0.057,0.057
333,0.247,0.247
334,0.245,0.245
335,0.092,0.092
336,0.099,0.099
337,0.095,0.095
338,0.334,0.334
339,0.09,0.09
340,0.1,0.1
341,0.1,0.1
342,0.451,0.451
343,0.094,0.094
344,0.013,0.013
345,0.009,0.009
346,0.009,0.009
347,0.123,0.123
348,0.032,0.032
349,0.123,0.123
350,0.02,0.02
351,0.031,0.031
352,0.123,0.123
353,0.02,0.02
354,0.03,0.03
355,0.032,0.032
356,0.287,0.287
357,0.286,0.286
358,0.287,0.287
359,0.237,0.237
360,0.237,0.237
361,0.237,0.237
362,0.237,0.237
363,0.237,0.237
364,0.221,0.221
365,0.268,0.268
366,0.268,0.268
367,0.268,0.268
368,0.007,0.007
369,0.012,0.012
370,0.008,0.008
371,0.008,0.008
372,0.008,0.008
373,0.008,0.008
374,0.061,0.061
375,0.477,0.477
376,0.351,0.351
377,0.619,0.619
378,0.394,0.394
379,0.057,0.057
380,0.036,0.036
381,0.025,0.025
382,0.025,0.025
383,0.025,0.025
384,0.023,0.023
385,0.059,0.059
386,0.059,0.059
387,0.038,0.038
388,0.039,0.039
389,0.028,0.028
390,0.025,0.025
391,0.025,0.025
392,0.113,0.113
393,0.028,0.028
394,0.012,0.012
395,0.027,0.027
396,0.113,0.113
397,0.024,0.024
398,0.024,0.024
399,0.024,0.024
400,0.024,0.024
401,0.111,0.111
402,0.111,0.111
403,0.091,0.091
404,0.091,0.091
405,0.027,0.027
406,0.023,0.023
407,0.023,0.023
408,0.098,0.098
409,0.09,0.09
410,0.09,0.09
411,0.022,0.022
412,0.024,0.024
413,0.037,0.037
414,0.027,0.027
415,0.027,0.027
416,0.269,0.269
417,0.239,0.239
418,0.038,0.038
419,0.038,0.038
420,0.037,0.037
421,0.037,0.037
422,0.028,0.028
423,0.028,0.028
424,0.142,0.142
425,0.142,0.142
426,0.142,0.142
427,0.372,0.372
428,0.372,0.372
429,0.288,0.288
430,0.28,0.28
431,0.288,0.288
432,0.142,0.142
433,0.142,0.142
434,0.124,0.124
435,0.113,0.113
436,0.038,0.038
437,0.038,0.038
438,0.147,0.147
439,0.119,0.119
440,0.01,0.01
441,0.026,0.026
442,0.114,0.114
443,0.114,0.114
444,0.314,0.314
445,0.04,0.04
446,0.04,0.04
447,0.112,0.112
