,Support_ID,EI,LA,MS,action
89,RQXM7I3A//59-18,0.22440000000000002,0.0,0.0,Replacement
90,RR09VDW6//62,0.319,0.0,0.0,Replacement
91,RR0BE8R1//59-17,0.5544,0.0,0.75,Replacement
92,RR0XTIF1//59-16,0.2574,0.0,0.292,Replacement
93,RR1K2GVE//59-15,0.2574,0.0,0.292,Replacement
94,RR24QJAE//59-14,0.5544,0.0,0.458,Replacement
95,RR2KGTFU//59-13,0.2574,0.0,0.292,Replacement
96,RR30OABW//61,0.319,0.0,0.0,Replacement
97,RR356VST//59-12,0.2574,0.0,0.292,Replacement
98,RR3NV07V//59-11,0.2574,0.0,0.292,Replacement
99,RR4ATDQC//59-10,0.22440000000000002,0.0,0.0,Replacement
100,RR4MSGN9//59-9,0.22440000000000002,0.0,0.0,Replacement
101,RR5H9AOR//59-8,0.22440000000000002,0.0,0.0,Replacement
102,RR5OPPNV//60,0.319,0.0,0.0,Replacement
103,RR6FFC1D//59-7,0.22440000000000002,0.0,0.0,Replacement
104,RR6GW843//59-7-1-CT,0.034,0.188,0.0,Keep the current maintenance
105,RR7L3RTG//59-6,0.22440000000000002,0.0,0.0,Replacement
106,RR8NQHGC//59-5,0.22440000000000002,0.0,0.0,Replacement
107,RR9JO7KN//59-4,0.22440000000000002,0.0,0.0,Replacement
108,RR9L73WC//59,0.319,0.0,0.0,Replacement
109,RR9U6EJ3//59-1,0.22440000000000002,0.0,0.0,Replacement
110,RRAB59FH//59-3-A1,0.12,0.352,0.0,Keep the current maintenance
111,RRAPCNEN//59-3,0.2574,0.0,0.292,Replacement
112,RRAVC7SP//59-3-B1,0.12,0.229,0.292,Keep the current maintenance
113,RRBTI956//59-2,0.2574,0.0,0.0,Replacement
114,RRDA61MW//58,0.319,0.0,0.0,Replacement
115,RRH7CSX5//57,0.319,0.0,0.0,Replacement
116,RRKD4KI7//56,0.319,0.0,0.0,Replacement
117,RRNHDFXP//55,0.319,0.0,0.0,Replacement
