index,Life Assessment,Total_Indicator
1,0.009,0.009
2,0.004,0.004
3,0.025,0.025
4,0.457,0.457
5,0.01,0.01
6,0.025,0.025
7,0.044,0.044
8,0.046,0.046
9,0.012,0.012
10,0.008,0.008
11,0.005,0.005
12,0.024,0.024
13,0.034,0.034
14,0.012,0.012
15,0.008,0.008
16,0.005,0.005
17,0.008,0.008
18,0.006,0.006
19,0.005,0.005
20,0.006,0.006
21,0.005,0.005
22,0.006,0.006
23,0.005,0.005
24,0.311,0.311
25,0.364,0.364
26,0.389,0.389
27,0.386,0.386
28,0.005,0.005
29,0.038,0.038
30,0.006,0.006
31,0.012,0.012
32,0.005,0.005
33,0.019,0.019
34,0.012,0.012
35,0.005,0.005
36,0.007,0.007
37,0.022,0.022
38,0.012,0.012
39,0.009,0.009
40,0.004,0.004
41,0.018,0.018
42,0.047,0.047
43,0.042,0.042
44,0.014,0.014
45,0.004,0.004
46,0.015,0.015
47,0.004,0.004
48,0.052,0.052
49,0.008,0.008
50,0.005,0.005
51,0.009,0.009
52,0.04,0.04
53,0.005,0.005
54,0.027,0.027
55,0.065,0.065
56,0.007,0.007
57,0.007,0.007
58,0.009,0.009
59,0.004,0.004
60,0.004,0.004
61,0.009,0.009
62,0.004,0.004
63,0.32,0.32
64,0.006,0.006
65,0.401,0.401
66,0.004,0.004
67,0.006,0.006
68,0.005,0.005
69,0.007,0.007
70,0.45,0.45
71,0.006,0.006
72,0.023,0.023
73,0.005,0.005
74,0.007,0.007
75,0.009,0.009
76,0.049,0.049
77,0.005,0.005
78,0.006,0.006
79,0.008,0.008
80,0.01,0.01
81,0.033,0.033
82,0.005,0.005
83,0.008,0.008
84,0.012,0.012
85,0.029,0.029
86,0.024,0.024
87,0.013,0.013
88,0.025,0.025
89,0.013,0.013
90,0.005,0.005
91,0.005,0.005
92,0.007,0.007
93,0.01,0.01
94,0.005,0.005
95,0.035,0.035
96,0.004,0.004
97,0.029,0.029
98,0.034,0.034
99,0.017,0.017
100,0.025,0.025
101,0.574,0.574
102,0.035,0.035
103,0.005,0.005
104,0.026,0.026
105,0.004,0.004
106,0.013,0.013
107,0.017,0.017
108,0.009,0.009
109,0.017,0.017
110,0.022,0.022
111,0.004,0.004
112,0.459,0.459
113,0.006,0.006
114,0.005,0.005
115,0.015,0.015
116,0.055,0.055
117,0.004,0.004
118,0.005,0.005
119,0.016,0.016
120,0.034,0.034
121,0.043,0.043
122,0.047,0.047
123,0.007,0.007
124,0.016,0.016
125,0.029,0.029
126,0.008,0.008
127,0.033,0.033
128,0.007,0.007
129,0.004,0.004
130,0.451,0.451
131,0.017,0.017
132,0.45,0.45
133,0.005,0.005
134,0.007,0.007
135,0.006,0.006
136,0.021,0.021
137,0.005,0.005
138,0.022,0.022
139,0.004,0.004
140,0.006,0.006
141,0.008,0.008
142,0.45,0.45
143,0.016,0.016
144,0.004,0.004
145,0.005,0.005
146,0.004,0.004
147,0.005,0.005
148,0.454,0.454
149,0.025,0.025
150,0.004,0.004
151,0.453,0.453
152,0.049,0.049
153,0.014,0.014
154,0.017,0.017
155,0.452,0.452
156,0.026,0.026
157,0.006,0.006
158,0.005,0.005
159,0.07,0.07
160,0.005,0.005
161,0.016,0.016
162,0.018,0.018
163,0.458,0.458
164,0,0
165,0.016,0.016
166,0.007,0.007
167,0.009,0.009
168,0.005,0.005
169,0.004,0.004
170,0.006,0.006
171,0.02,0.02
172,0.006,0.006
173,0.037,0.037
174,0.024,0.024
175,0.007,0.007
176,0.004,0.004
177,0.024,0.024
178,0.276,0.276
179,0.005,0.005
180,0.005,0.005
181,0.019,0.019
182,0.121,0.121
183,0.008,0.008
184,0.147,0.147
185,0.004,0.004
186,0.005,0.005
187,0.008,0.008
188,0.221,0.221
189,0.359,0.359
190,0.088,0.088
