index,Life Assessment,Total_Indicator
1,0.005,0.005
2,0.004,0.004
3,0.01,0.01
4,0.454,0.454
5,0.006,0.006
6,0.009,0.009
7,0.023,0.023
8,0.015,0.015
9,0.005,0.005
10,0.006,0.006
11,0.004,0.004
12,0.012,0.012
13,0.015,0.015
14,0.005,0.005
15,0.004,0.004
16,0.004,0.004
17,0.006,0.006
18,0.004,0.004
19,0.004,0.004
20,0.005,0.005
21,0.004,0.004
22,0.005,0.005
23,0.004,0.004
24,0.05,0.05
25,0.19,0.19
26,0.283,0.283
27,0.277,0.277
28,0.005,0.005
29,0.02,0.02
30,0.004,0.004
31,0.005,0.005
32,0.004,0.004
33,0.006,0.006
34,0.008,0.008
35,0.004,0.004
36,0.005,0.005
37,0.012,0.012
38,0.006,0.006
39,0.004,0.004
40,0.004,0.004
41,0.013,0.013
42,0.02,0.02
43,0.027,0.027
44,0.005,0.005
45,0.004,0.004
46,0.006,0.006
47,0.004,0.004
48,0.031,0.031
49,0.004,0.004
50,0.004,0.004
51,0.005,0.005
52,0.026,0.026
53,0.004,0.004
54,0.013,0.013
55,0.016,0.016
56,0.004,0.004
57,0.005,0.005
58,0.005,0.005
59,0.004,0.004
60,0.004,0.004
61,0.008,0.008
62,0.004,0.004
63,0.041,0.041
64,0.005,0.005
65,0.121,0.121
66,0.004,0.004
67,0.004,0.004
68,0.004,0.004
69,0.004,0.004
70,0.45,0.45
71,0.005,0.005
72,0.008,0.008
73,0.004,0.004
74,0.005,0.005
75,0.004,0.004
76,0.016,0.016
77,0.004,0.004
78,0.005,0.005
79,0.005,0.005
80,0.008,0.008
81,0.015,0.015
82,0.004,0.004
83,0.007,0.007
84,0.012,0.012
85,0.016,0.016
86,0.016,0.016
87,0.004,0.004
88,0.017,0.017
89,0.012,0.012
90,0.004,0.004
91,0.004,0.004
92,0.004,0.004
93,0.008,0.008
94,0.004,0.004
95,0.019,0.019
96,0.004,0.004
97,0.009,0.009
98,0.018,0.018
99,0.006,0.006
100,0.014,0.014
101,0.574,0.574
102,0.01,0.01
103,0.004,0.004
104,0.019,0.019
105,0.004,0.004
106,0.009,0.009
107,0.014,0.014
108,0.006,0.006
109,0.009,0.009
110,0.014,0.014
111,0.004,0.004
112,0.455,0.455
113,0.004,0.004
114,0.003,0.003
115,0.008,0.008
116,0.032,0.032
117,0.004,0.004
118,0.004,0.004
119,0.007,0.007
120,0.015,0.015
121,0.02,0.02
122,0.022,0.022
123,0.004,0.004
124,0.009,0.009
125,0.016,0.016
126,0.004,0.004
127,0.01,0.01
128,0.005,0.005
129,0.004,0.004
130,0.451,0.451
131,0.005,0.005
132,0.45,0.45
133,0.004,0.004
134,0.006,0.006
135,0.004,0.004
136,0.007,0.007
137,0.004,0.004
138,0.004,0.004
139,0.004,0.004
140,0.004,0.004
141,0.004,0.004
142,0.45,0.45
143,0.011,0.011
144,0.004,0.004
145,0.004,0.004
146,0.004,0.004
147,0.004,0.004
148,0.452,0.452
149,0.018,0.018
150,0.004,0.004
151,0.451,0.451
152,0.04,0.04
153,0.008,0.008
154,0.011,0.011
155,0.451,0.451
156,0.004,0.004
157,0.004,0.004
158,0.004,0.004
159,0.028,0.028
160,0.004,0.004
161,0.006,0.006
162,0.001,0.001
163,0.454,0.454
164,0,0
165,0.008,0.008
166,0.004,0.004
167,0.006,0.006
168,0.004,0.004
169,0.004,0.004
170,0.005,0.005
171,0.01,0.01
172,0.005,0.005
173,0.019,0.019
174,0.013,0.013
175,0.006,0.006
176,0.004,0.004
177,0.012,0.012
178,0.069,0.069
179,0.005,0.005
180,0.004,0.004
181,0.013,0.013
182,0.021,0.021
183,0.006,0.006
184,0.065,0.065
185,0.003,0.003
186,0.005,0.005
187,0.007,0.007
188,0.051,0.051
189,0.096,0.096
190,0.03,0.03
