name,H2_power_rating,H3_contribution_in_feeder,H4_faults
19A649,107.44,0.012,0.0
19A650,53.824,0.012,0.0
19A716,107.067,0.017,0.0
19A754,107.128,0.004,0.0
19P814,53.666,0.002,0.0
28AGM9,172.395,0.022,1.074
28AIN3,53.43,0.003,0.0
28AIQ3,53.874,0.007,0.0
28AIQ4,107.65,0.005,0.0
28ANG2,107.3,0.004,2.148
28ANG4,107.436,0.001,2.145
28ANG5,171.423,0.013,1.073
28ANG8,107.356,0.007,0.0
28ANH0,171.813,0.019,0.0
28APE6,171.149,0.013,2.155
28APE9,107.478,0.011,6.442
28APF0,107.484,0.012,6.467
28APF3,107.503,0.0,1.073
28APF5,172.181,0.015,4.301
28AQG2,107.212,0.016,0.0
28ARM7,172.529,0.025,0.0
28ARN3,107.544,0.011,4.284
28CBC9,267.774,0.052,0.0
28CCKN,673.094,0.063,0.0
28CCWV,679.108,0.046,0.0
28CDPG,673.974,0.02,0.0
28CDR2,675.679,0.117,6.443
28CDR3,429.978,0.03,0.0
28CDR5,171.505,0.019,4.304
28CFHW,427.945,0.025,0.0
28CFHX,429.859,0.021,2.151
28CFHY,429.291,0.018,0.0
28CFHZ,429.369,0.026,0.0
28CFKY,0.0,0.0,0.0
28CHHS,1075.283,0.071,7.531
28CHQD,428.879,0.078,1.074
28CIA6,430.751,0.04,1.074
28CIA7,430.39,0.041,5.383
28CIA8,429.102,0.044,1.078
28CIA9,432.758,0.028,1.064
28CIB0,269.531,0.038,0.0
28CIB1,428.71,0.033,0.0
28CIB2,267.989,0.037,0.0
28CIB3,269.736,0.053,1.078
28CIB4,269.65,0.05,0.0
28CIB5,172.04,0.025,1.079
28CIB9,0.0,0.0,0.0
28CIC8,53.986,0.016,0.0
28CIC9,172.098,0.035,0.0
28CIW1,674.536,0.061,1.075
28CJF4,0.0,0.0,0.0
28CJKK,676.044,0.025,0.0
28CLN4,674.824,0.066,2.149
28CMFM,270.056,0.016,1.072
28CNTW,268.905,0.045,0.0
28CPYL,0.0,0.0,0.0
28CPYN,0.0,0.0,0.0
28CQPQ,678.411,0.079,4.316
28CRQM,0.0,0.0,0.0
28CUB0,680.276,0.072,2.156
28CVC5,171.861,0.001,1.074
28CXN2,427.612,0.072,2.154
28CYL3,428.147,0.034,8.541
28CZP5,675.503,0.037,3.205
28PBLK,16.134,0.0,0.0
28PBVP,429.11,0.017,0.0
28PBZK,26.786,0.002,0.0
28PCAT,2146.458,0.126,0.0
28PCKK,214.622,0.006,0.0
28PFQB,26.855,0.0,0.0
28PJTZ,268.343,0.004,0.0
28PLPZ,26.743,0.0,0.0
28PNG6,10.737,0.001,0.0
28PNG7,32.227,0.001,0.0
28PNG9,10.726,0.002,0.0
28PNNZ,53.446,0.001,0.0
28PPE4,53.714,0.007,0.0
28PPE7,16.107,0.0,0.0
28PPF1,26.935,0.001,0.0
28PPF2,134.705,0.009,0.0
28PRQP,862.973,0.014,0.0
28PSJ3,16.186,0.001,0.0
28PST0,53.69,0.002,0.0
28PTA3,269.206,0.004,0.0
28PTM7,27.038,0.0,0.0
28PTQ3,267.819,0.015,1.072
28PVKN,26.735,0.001,0.0
28PXC6,53.42,0.001,0.0
28PYY2,269.181,0.006,0.0
45ABP7,53.724,0.002,0.0
45PCW7,171.683,0.012,0.0
45PYY8,80.383,0.0,0.0
