Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.453,5.568,3.09,4.356
RPUWQIFO//74-22-5-CT,4.357,3.698,3.083,3.396
RPWULH1G//74-22-3,5.459,4.553,3.803,4.181
RQ0W7MUL//74-22-2,5.465,4.568,4.849,4.75
RQ2HC35J//74-27,6.547,6.438,2.731,4.6
RQ2NBO45//79,7.624,6.296,2.733,4.527
RQ2O32O0//74-26,6.542,6.459,3.093,4.809
RQ2O34P5//74-2-1-CT,4.36,3.696,2.729,3.211
RQ2O35AP//81,7.631,6.3,2.759,4.557
RQ2RSBDX//74-10-1-CT,4.362,3.692,2.739,3.209
RQ2TB80M//74-3,6.544,5.445,2.746,4.096
RQ2U2NH2//78,7.621,6.303,2.747,4.546
RQ2VJJ4Q//74-4,6.559,5.436,4.851,5.167
RQ2WAWCD//74-25,6.54,6.446,3.106,4.79
RQ2WB0PA//79-1-CT,5.46,4.558,3.092,3.827
RQ3227SQ//77,7.611,6.297,2.741,4.529
RQ351XNN//74-3-1-CT,4.358,3.69,2.741,3.222
RQ351XTF//74,7.631,6.332,2.723,4.527
RQ35REIC//74-6,6.543,5.429,4.861,5.173
RQ36IS0S//74-24,6.547,6.446,3.091,4.787
RQ36IS7R//74-22-1,5.451,4.566,4.507,4.549
RQ36ITU7//74-2,6.546,5.446,2.729,4.102
RQ37A8RE//74-28,6.534,6.432,4.529,5.503
RQ38R6MC//74-7,6.548,5.454,3.096,4.301
RQ38R73O//74-1,6.545,5.439,2.739,4.126
RQ38R785//76,7.627,6.307,2.728,4.556
RQ3D9RJP//74-23,6.536,6.43,3.08,4.793
RQ3E19WA//74-8,6.536,5.437,3.097,4.279
RQ3E1AI0//75,7.624,6.325,3.106,4.765
RQ3HQH2A//74-10,6.538,5.44,4.527,4.996
RQ3IHW6E//74-9,6.529,5.438,3.095,4.283
RQ3K0TFG//82,7.63,6.299,6.643,6.485
RQ3M949X//74-22,6.535,5.433,3.079,4.28
RQ3OHGEU//74-11,6.546,5.436,3.098,4.301
RQ3TPIUD//74-21,6.54,5.439,4.874,5.188
RQ3TPJNW//74-12,6.554,5.436,3.084,4.28
RQ4087VA//74-13,6.539,5.461,3.084,4.294
RQ44OTL4//74-20,6.538,5.432,4.87,5.174
RQ44OU50//74-14,6.543,5.443,3.09,4.304
RQ4AOEG4//74-15,6.546,5.439,3.097,4.276
RQ4C7A7X//74-19,6.542,5.43,2.723,4.091
RQ4CWPID//74-16,6.541,5.433,3.098,4.267
RQ4CWRDB//83,7.64,6.3,3.087,4.708
RQ4HFDQA//74-17,6.556,5.429,3.088,4.301
RQ4KF5UF//74-18,6.554,5.43,3.103,4.287
RQ4O6CAL//74-29,6.549,6.445,2.725,4.604
RQ4RVMH0//84,7.608,6.302,2.744,4.517
RQ52UWT5//80-1-CT,5.447,4.549,2.733,3.674
RQ5BU910//73,7.627,6.308,3.081,4.728
RQ5HTS99//85,7.62,6.295,2.748,4.567
RQ61SCFJ//74-30,6.544,6.438,3.456,4.952
RQ6M1DXH//86,7.614,6.301,2.732,4.527
RQ6R9HBI//86-1-CT,5.445,4.549,2.734,3.663
RQ7JG075//87,7.616,6.294,2.721,4.568
RQ7SF9TF//72,7.649,6.299,3.091,4.739
RQ82N36S//74-31,6.533,6.464,3.457,4.958
RQ82N3G8//74-33-5,5.456,5.551,1.676,3.642
RQ8AUX4A//74-33-6-CT,4.363,4.697,1.662,3.21
RQ8EM99R//88,7.6,6.297,3.451,4.887
RQ8UCGAG//74-33-4,5.446,5.576,6.619,6.109
RQ9PISCN//89,7.617,6.289,3.085,4.723
RQ9W9OJR//74-32,6.537,6.437,6.639,6.565
RQA9HCG7//74-33-3,5.457,5.568,6.607,6.116
RQAA8TM4//71,7.645,6.308,3.087,4.721
RQAKP3CS//90,7.627,6.28,2.725,4.521
RQAUFPTH//74-33-2,5.463,5.569,6.645,6.103
RQB7NGUI//91,7.604,6.289,2.733,4.539
RQBDN1ED//92-CT,6.542,5.428,2.738,4.108
RQBMM8KX//74-33-1,5.443,5.571,2.021,3.814
RQBQDFTA//74-33,6.527,6.444,4.87,5.66
RQCQ2FER//70,7.644,6.299,3.431,4.894
RQE5WOGE//74-34,6.542,6.437,3.43,4.951
RQFGTBSJ//69,7.634,6.304,3.095,4.729
RQFQK18D//74-35,6.545,6.444,3.439,4.967
RQHIFFCM//74-36,6.525,6.425,3.447,4.94
RQHUEI6N//74-37-CT,5.457,5.567,2.733,4.182
RQI6UR6H//68,7.632,6.316,2.736,4.569
RQJ7B5LL//68-1,6.548,5.439,3.092,4.277
RQK7030R//68-2,6.567,5.447,3.087,4.279
RQKTFCF1//67,7.655,6.306,3.092,4.729
RQL85UHJ//68-3,6.544,5.43,3.092,4.289
RQMA3527//68-4,6.561,5.432,3.1,4.291
RQMVQX85//66-1-CT,5.452,4.569,1.319,2.959
RQN6Q9V3//66,7.624,6.304,3.096,4.734
RQN6QA89//68-5,6.548,5.437,2.731,4.127
RQQ6IGW0//65,7.672,6.313,3.44,4.901
RQSVBDBP//64,7.644,6.338,3.434,4.907
RQVKLDLX//63,7.635,6.32,3.106,4.71
RQX20JL3//59-19-CT,5.46,4.569,2.741,3.68
RQXM7I3A//59-18,6.554,5.443,3.084,4.29
RR09VDW6//62,7.664,6.319,3.091,4.718
RR0BE8R1//59-17,6.558,5.444,6.648,6.057
RR0XTIF1//59-16,6.54,5.444,3.442,4.454
RR1K2GVE//59-15,6.569,5.447,3.442,4.461
RR24QJAE//59-14,6.55,5.444,6.672,6.045
RR2KGTFU//59-13,6.546,5.433,3.469,4.465
RR30OABW//61,7.642,6.319,3.087,4.715
RR356VST//59-12,6.555,5.432,3.436,4.475
