Support_ID,H2_defects,H3_defect_severity
S7DAPFTG//189-3,0,0
S7DXW5GE//D59-3-9,0,0
S7EULF2I//D31,0,0
S7FUA7XL//D59-3-8,0,0
S7I8CKKC//D59-3-7,0,0
S7K3X81U//D59-3-6,0,0
S7K8FV77//D59,1,2
S7KO6AMP//D32,0,0
S7LWSE9U//D59-3-5-2-CT,0,0
S7M72A6O//D59-3-3,0,0
S7MARHA0//D59-3-5,0,0
S7MBIWHE//D59-3-3-1-CT,0,0
S7ML9NUP//D59-3-5-1,0,0
S7N5XQHB//D59-3-2,0,0
S7NGG35B//D33,0,0
S7NHWU4V//D58,0,0
S7NTVW28//D59-3-4,0,0
S7OJ4NLW//D57,0,0
S7OPTMG9//D59-1,0,0
S7PI254F//D59-3-1,0,0
S7Q6HER3//D59-2,0,0
S7R0WCF7//D34,0,0
S7R36JTR//D59-3,0,0
S7RO508P//D56,0,0
S7S2TH5D//D59-4,0,0
S7T5I6LW//D59-5,0,0
S7TF8XFQ//D55,2,3
S7UGEPQA//D59-5-1,0,0
S7UK5WW1//D59-6,0,0
S7URMHAB//D35,0,0
S7VJ3F5T//D59-7,0,0
S7VJ3FC1//D59-5-2,0,0
S7WF15FQ//D59-5-3,0,0
S7WIQCFE//D59-8,0,0
S7XG6WWF//D59-5-4-CT,0,0
S7XMVW0M//D59-9,0,0
S8005LC0//D54,0,0
S806545G//D59-10,0,0
S8065866//D36,0,0
S814B5B6//D59-11,0,0
S81H1N5Q//D59-12-1-CT,0,0
S81W0I6H//D59-12,0,0
S82CXD65//D59-13,0,0
S83RL7FF//D53,0,0
S841T57R//D37,0,0
S84734ES//D59-14,0,0
S84736GE//D52,0,0
S84J2977//D53-1,0,0
S84NIXJ3//D38,0,0
S84NIXPC//D37-1,0,0
S84S1M0G//D37-1-1,0,0
S84WIA2F//D39,0,0
S8530W8B//D40,0,0
S853QBGQ//D53-2,0,0
S856Q41I//D51,0,0
S859PVF1//D42-2-CT,0,0
S85AHD29//D37-1-3CT,0,0
S85GGRDN//D59-15,0,0
S85IP4H6//D59-16-1CT,0,0
S85JGM0G//D50,0,0
S85UOAUI//D42-1,0,0
S860FGKE//D53-3,0,0
S8646LTF//D59-16,0,0
S865NLKC//D41,0,0
S86A6896//D53-4,0,0
S86FECA3//D49,0,0
S86G5S8R//D42,0,0
S86JV1D6//D43,0,0
S86ODNJ7//D44,0,0
S86S4VRT//D37-1-X-1,0,0
S86UD7R5//D45,0,0
S86WLITM//D46,0,0
S872CQ0G//D47,0,0
S873TJ4G//D59-17,0,0
S8763X5V//D48,0,0
S87L2SME//D44-1,0,0
S885QRIM//D59-18,0,0
S88D9C3N//D40-1,0,0
S88WOSRW//D44-2-CT,0,0
S89ANS5P//D59-19,0,0
S89RV4VL//D37-2,0,0
S8B6AK5T//D37-3,0,0
S8B71UGX//D59-20,0,0
S8BMQAWE//D40-2,0,0
S8C3P1J7//D59-21,0,0
S8D5METU//D37-4,0,0
S8DICRSO//D59-22,0,0
S8E32U09//D59-26-1-CT,0,0
S8EPIACX//D40-3,0,0
S8EUQ8WK//D59-26,0,0
S8FV6L93//D59-27,0,0
S8GBE6DU//D37-5,0,0
S8GX3TNL//D59-28,0,0
S8HV9UT5//D59-29,0,0
S8I411LT//D37-6,0,0
S8IUWS47//D59-30,0,0
S8IVOEH2//D37-6-1,0,0
S8J1FLEQ//D40-4,0,0
S8JGEGPR//D37-6-2,0,0
S8JQ58J9//D37-7,0,0
S8JQUI4S//D59-31,0,0
S8K73W3V//D59-31-1-CT,0,0
S8KEKHV7//D37-6-3,0,0
S8KLBHKI//D37-8,0,0
S8L1IVBG//D37-6-4-CT,0,0
S8LO01LP//D59-32,0,0
S8LPH3OJ//D37-14,0,0
S8LW82QD//D37-9,0,0
S8MGW5D3//D37-13,0,0
S8N1M6RQ//D40-5,0,0
S8N5DET0//D37-12,0,0
S8N64U42//D37-14-1CT,0,0
S8N8D6UE//D37-10,0,0
S8NECJMT//D59-33,0,0
S8NFTLTD//D37-15,0,0
S8OJ9Q29//D37-11,0,0
S8PCWX9A//D59-34,0,0
S8Q7DWB0//D40-6,0,0
S8QN49G7//D37-16,0,0
S8RSQJ24//D59-35,0,0
S8SNWS2N//D59-36,0,0
S8TKM4BV//D40-7,0,0
S8TWL889//D37-17,0,0
S8UU1M6K//D59-37,0,0
S8W1O3VO//D59-38,0,0
S8XKSIKL//D59-39,0,0
S91H6L3M//D59-40,0,0
S935AS15//D59-41,0,0
S9362F3T//D37-18CT,0,0
S943H17G//D37-19,0,0
