Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RQ9PISCN//89,7.717,6.379,3.178,4.807
RQ9W9OJR//74-32,6.617,6.542,6.77,6.723
RQA9HCG7//74-33-3,5.518,5.63,6.773,6.292
RQAA8TM4//71,7.743,6.394,3.162,4.818
RQAKP3CS//90,7.722,6.353,2.788,4.636
RQAUFPTH//74-33-2,5.524,5.648,6.77,6.253
RQB7NGUI//91,7.719,6.379,2.8,4.658
RQBDN1ED//92-CT,6.625,5.506,2.801,4.182
RQBMM8KX//74-33-1,5.531,5.625,2.074,3.91
RQBQDFTA//74-33,6.628,6.505,5.019,5.864
RQCQ2FER//70,7.738,6.381,3.525,5.063
RQE5WOGE//74-34,6.611,6.532,3.514,5.073
RQFGTBSJ//69,7.713,6.391,3.155,4.837
RQFQK18D//74-35,6.615,6.522,3.55,5.079
RQHIFFCM//74-36,6.614,6.512,3.517,5.073
RQHUEI6N//74-37-CT,5.518,5.646,2.795,4.249
RQI6UR6H//68,7.733,6.387,2.816,4.649
RQJ7B5LL//68-1,6.65,5.519,3.176,4.419
RQK7030R//68-2,6.596,5.51,3.158,4.398
RQKTFCF1//67,7.732,6.375,3.141,4.808
RQL85UHJ//68-3,6.635,5.503,3.196,4.383
RQMA3527//68-4,6.633,5.495,3.174,4.359
RQMVQX85//66-1-CT,5.509,4.621,1.335,3.045
RQN6Q9V3//66,7.768,6.393,3.158,4.834
RQN6QA89//68-5,6.639,5.497,2.788,4.181
RQQ6IGW0//65,7.711,6.394,3.528,5.029
RQSVBDBP//64,7.733,6.402,3.517,5.002
RQVKLDLX//63,7.731,6.385,3.159,4.847
RQX20JL3//59-19-CT,5.522,4.628,2.818,3.762
RQXM7I3A//59-18,6.629,5.503,3.172,4.375
RR09VDW6//62,7.748,6.393,3.143,4.84
RR0BE8R1//59-17,6.648,5.493,6.82,6.205
RR0XTIF1//59-16,6.64,5.52,3.553,4.579
RR1K2GVE//59-15,6.627,5.527,3.547,4.56
RR24QJAE//59-14,6.611,5.517,6.784,6.214
RR2KGTFU//59-13,6.631,5.522,3.526,4.579
RR30OABW//61,7.719,6.392,3.163,4.873
RR356VST//59-12,6.65,5.509,3.498,4.563
RR3NV07V//59-11,6.629,5.501,3.526,4.564
RR4ATDQC//59-10,6.645,5.521,2.805,4.19
RR4MSGN9//59-9,6.609,5.506,2.787,4.235
RR5H9AOR//59-8,6.654,5.495,3.161,4.384
RR5OPPNV//60,7.762,6.407,2.806,4.641
RR6FFC1D//59-7,6.639,5.508,2.807,4.182
RR6GW843//59-7-1-CT,4.429,3.733,2.786,3.289
RR7L3RTG//59-6,6.605,5.503,3.184,4.391
RR8NQHGC//59-5,6.625,5.517,2.77,4.204
RR9JO7KN//59-4,6.622,5.526,2.815,4.222
RR9L73WC//59,7.711,6.396,3.135,4.829
RR9U6EJ3//59-1,6.627,5.512,2.807,4.203
RRAB59FH//59-3-A1,5.525,4.629,2.805,3.758
RRAPCNEN//59-3,6.616,5.512,3.142,4.388
RRAVC7SP//59-3-B1,5.513,4.621,0.995,2.856
RRBTI956//59-2,6.627,5.488,3.146,4.397
RRDA61MW//58,7.755,6.387,3.172,4.824
RRH7CSX5//57,7.728,6.415,2.802,4.66
RRKD4KI7//56,7.758,6.397,3.153,4.872
RRNHDFXP//55,7.751,6.401,3.16,4.855
RRQJE09U//54,7.748,6.396,2.826,4.678
RRRUAJIN//53,7.746,6.407,3.166,4.832
RRTA6V0M//52,7.751,6.39,3.513,5.043
RRULSVBA//51,7.735,6.39,3.15,4.846
RRVUH5EV//50,7.766,6.396,4.613,5.59
RRXRKN1Q//49,7.747,6.426,3.159,4.88
RS1HX76K//48,7.762,6.422,2.809,4.628
RS29E92M//47,7.737,6.424,3.159,4.847
RS30TAWM//46,7.77,6.417,2.801,4.64
RS40I8FR//45,7.775,6.402,2.792,4.663
RS53WD64//44,7.739,6.39,2.781,4.691
RT82CO7C//D34-3,6.67,5.532,2.809,4.213
RT8L2QFF//D34-2,6.658,5.53,2.807,4.198
RT9A9GXW//D34-1,6.654,5.549,2.825,4.188
RTIES7OX//D31-1-CT,5.557,4.637,2.792,3.783
RVWXPSPU//D6-1-CT,5.549,4.674,2.81,3.79
SR2JKGWT/80,7.805,6.446,2.448,4.487
SR31ARAI//74-5,6.633,5.502,3.144,4.38
S5OHC14B//D8,7.396,6.12,0.983,3.618
S5OKBRG7//D7,7.482,6.184,2.433,4.35
S5ONBJQT//D6,7.547,6.222,2.44,4.386
S5OQBC3W//D5,7.65,6.277,2.419,4.418
S5OSJNC8//D4,7.693,6.327,2.448,4.446
S5OVJFN8//D3,7.751,6.393,2.438,4.48
S5OWAURA//D2X2,5.942,4.957,1.34,3.208
S5P2246G//D1,7.892,6.497,2.449,4.524
S5PE16WJ//D2,7.799,6.435,1.347,3.98
S5PFI312//D2X1,5.942,4.959,1.349,3.204
S5QI6POO//D9,7.34,6.065,0.991,3.576
S5S3B69E//D10,7.235,6.008,0.99,3.557
S5TGG2EI//D11,7.197,5.977,0.984,3.502
S5VC2NN1//D12,7.129,5.918,2.442,4.204
S5WXFFCR//D13,7.075,5.842,0.99,3.459
S61G0G0W//D14,6.969,5.797,0.981,3.416
S62DF24C//D15,6.946,5.749,1.356,3.592
S62H68M6//D18-5CT,7.055,5.855,2.794,4.377
S63NK5H8//D18-4,7.07,5.824,2.794,4.385
S644J141//D16,6.853,5.679,1.338,3.543
S651XKPV//D18-3,7.042,5.849,3.159,4.574
S66F4H2C//D18-2,7.041,5.831,2.801,4.338
S68C80M4//D18-1,7.054,5.845,2.805,4.386
S68L7B9D//D18,6.723,5.589,2.451,4.065
S68WEX0Q//D18-1-1CT,6.174,5.141,1.349,3.294
S69FM59I//D17,6.783,5.641,0.99,3.35
S6B014RF//D19,6.664,5.545,0.983,3.304
S6DKBCST//D20,6.585,5.508,0.985,3.271
S6GW2MLG//D21,6.518,5.431,0.979,3.253
S6JOCF2T//D22,6.459,5.377,0.99,3.227
S6MND6XT//D23,6.373,5.323,0.985,3.188
S6POMA23//D24,6.335,5.257,0.988,3.139
S6TMKI7P//D25,6.258,5.207,2.446,3.899
S6WGD6QK//D26,6.17,5.153,0.99,3.119
S6X7S4UK//189-15-CT,6.044,5.015,2.799,3.967
S6XPQQ6E//189-14,6.913,5.731,2.814,4.299
S7058P58//189-13,6.882,5.73,2.782,4.309
S70SFJ8S//D27,6.129,5.132,2.433,3.807
S71467HF//189-12,6.908,5.708,4.63,5.255
S71G5AC8//189-11,6.869,5.703,2.807,4.291
S73NP0J2//189-10,6.883,5.714,2.802,4.296
S74SM4JO//D28,6.036,5.061,0.99,3.054
S75OJP8F//189-9,6.928,5.711,2.793,4.268
S77KVV12//D29,5.977,4.984,0.991,3.046
S78157MX//189-8,6.893,5.722,2.813,4.35
S783DILX//189-6-1-CT,5.157,4.338,2.795,3.576
S7AAX8X3//189-7,6.884,5.702,2.807,4.278
S7AKO0K3//189-6,6.894,5.744,2.787,4.337
S7ALFFNX//189-7-1,6.032,5.027,2.783,3.969
S7ATNEM5//D30,5.933,4.932,0.985,3.019
S7BSKRFB//189-5,6.886,5.706,3.17,4.468
S7CKR95N//D59-3-11,6.15,5.084,2.813,4.024
S7CN1LDA//189-4,6.874,5.717,3.18,4.512
S7CT14OH//D59-3-10-1-CT,4.382,3.7,2.798,3.265
S7CWQBXF//D59-3-10,6.136,5.118,2.815,4.024
S7DAPFTG//189-3,6.879,5.722,1.36,3.579
S7DXW5GE//D59-3-9,6.107,5.116,2.794,3.991
S7EULF2I//D31,5.824,4.899,0.991,2.98
S7FUA7XL//D59-3-8,6.131,5.116,2.79,4.013
S7I8CKKC//D59-3-7,6.134,5.113,3.178,4.202
S7K3X81U//D59-3-6,6.127,5.102,2.805,3.997
S7K8FV77//D59,3.972,3.393,2.452,2.926
S7KO6AMP//D32,5.792,4.815,0.981,2.958
S7LWSE9U//D59-3-5-2-CT,4.372,3.724,2.806,3.281
S7M72A6O//D59-3-3,6.141,5.093,2.808,3.992
S7MARHA0//D59-3-5,6.136,5.11,2.828,3.966
S7MBIWHE//D59-3-3-1-CT,4.388,3.711,2.798,3.289
S7ML9NUP//D59-3-5-1,5.272,4.398,2.8,3.622
S7N5XQHB//D59-3-2,6.11,5.102,2.794,3.989
S7NGG35B//D33,5.729,4.781,0.982,2.92
S7NHWU4V//D58,4.037,3.44,0.988,2.246
S7NTVW28//D59-3-4,6.142,5.101,2.804,4.012
S7OJ4NLW//D57,4.106,3.485,2.425,2.999
S7OPTMG9//D59-1,6.979,5.794,0.98,3.464
S7PI254F//D59-3-1,6.135,5.107,2.814,3.987
S7Q6HER3//D59-2,7.006,5.789,2.804,4.362
S7R0WCF7//D34,5.66,4.733,0.986,2.907
S7R36JTR//D59-3,6.992,5.797,2.802,4.344
S7RO508P//D56,4.155,3.526,0.982,2.295
S7S2TH5D//D59-4,7.002,5.805,2.815,4.361
S7T5I6LW//D59-5,6.989,5.793,2.819,4.342
S7TF8XFQ//D55,4.241,3.591,1.355,2.509
S7UGEPQA//D59-5-1,6.144,5.1,2.784,3.976
S7UK5WW1//D59-6,7.001,5.842,3.159,4.519
S7URMHAB//D35,5.575,4.66,2.448,3.586
S7VJ3F5T//D59-7,6.978,5.821,3.164,4.493
S7VJ3FC1//D59-5-2,6.111,5.082,2.817,3.999
S7WF15FQ//D59-5-3,6.11,5.099,2.811,4.012
S7WIQCFE//D59-8,6.985,5.797,2.812,4.362
S7XG6WWF//D59-5-4-CT,5.257,4.389,2.821,3.621
S7XMVW0M//D59-9,7.017,5.796,3.181,4.551
S8005LC0//D54,4.304,3.656,2.446,3.083
S806545G//D59-10,7.009,5.844,3.173,4.535
S8065866//D36,5.51,4.641,0.986,2.828
S814B5B6//D59-11,6.996,5.8,3.165,4.572
S81H1N5Q//D59-12-1-CT,5.238,4.407,2.79,3.649
S81W0I6H//D59-12,7.017,5.785,1.339,3.639
S82CXD65//D59-13,7.008,5.804,2.815,4.349
S83RL7FF//D53,4.37,3.699,2.43,3.1
S841T57R//D37,5.454,4.569,2.434,3.533
S84734ES//D59-14,6.99,5.799,3.184,4.536
S84736GE//D52,4.441,3.769,0.981,2.393
S84J2977//D53-1,6.999,5.804,1.353,3.631
S84NIXJ3//D38,5.341,4.513,0.987,2.8
S84NIXPC//D37-1,7.023,5.813,1.348,3.643
S84S1M0G//D37-1-1,6.137,5.112,3.182,4.189
S84WIA2F//D39,5.306,4.456,0.984,2.749
S8530W8B//D40,5.249,4.399,2.433,3.481
S853QBGQ//D53-2,7.022,5.803,2.79,4.36
S856Q41I//D51,4.508,3.82,0.984,2.438
S859PVF1//D42-2-CT,6.141,5.102,2.8,3.986
S85AHD29//D37-1-3CT,6.167,5.11,2.798,3.986
S85GGRDN//D59-15,7.035,5.797,2.791,4.34
S85IP4H6//D59-16-1CT,6.126,5.116,1.35,3.297
S85JGM0G//D50,4.574,3.847,0.99,2.469
S85UOAUI//D42-1,7.022,5.822,2.822,4.341
S860FGKE//D53-3,6.982,5.809,2.828,4.363
S8646LTF//D59-16,6.986,5.809,3.18,4.504
S865NLKC//D41,5.171,4.341,0.991,2.687
S86A6896//D53-4,7.009,5.814,2.808,4.354
S86FECA3//D49,4.656,3.928,0.99,2.498
S86G5S8R//D42,5.109,4.307,2.442,3.382
S86JV1D6//D43,5.045,4.238,2.434,3.401
S86ODNJ7//D44,4.984,4.197,0.985,2.61
S86S4VRT//D37-1-X-1,5.248,4.441,3.163,3.804
S86UD7R5//D45,4.913,4.158,0.981,2.594
S86WLITM//D46,4.817,4.073,0.989,2.551
S872CQ0G//D47,4.782,4.026,0.985,2.546
S873TJ4G//D59-17,7.006,5.8,3.16,4.516
S8763X5V//D48,4.701,3.971,0.987,2.525
S87L2SME//D44-1,7.0,5.828,0.987,3.481
S885QRIM//D59-18,6.99,5.828,3.15,4.528
S88D9C3N//D40-1,7.018,5.843,1.357,3.668
S88WOSRW//D44-2-CT,6.143,5.126,2.802,3.995
S89ANS5P//D59-19,7.005,5.795,3.165,4.522
S89RV4VL//D37-2,7.011,5.816,3.16,4.583
S8B6AK5T//D37-3,7.02,5.84,3.157,4.544
S8B71UGX//D59-20,6.991,6.833,3.168,5.058
S8BMQAWE//D40-2,7.021,5.81,0.979,3.458
S8C3P1J7//D59-21,7.004,6.835,3.168,5.087
S8D5METU//D37-4,7.008,5.828,3.163,4.554
S8DICRSO//D59-22,7.004,6.829,1.342,4.157
S8E32U09//D59-26-1-CT,5.253,5.427,2.806,4.152
S8EPIACX//D40-3,7.026,5.801,1.344,3.649
S8EUQ8WK//D59-26,7.007,6.834,2.797,4.842
S8FV6L93//D59-27,7.002,6.811,3.153,5.05
S8GBE6DU//D37-5,7.033,5.799,3.18,4.565
S8GX3TNL//D59-28,7.004,6.827,3.147,5.059
S8HV9UT5//D59-29,6.979,6.827,3.164,5.033
S8I411LT//D37-6,7.01,5.793,2.79,4.359
S8IUWS47//D59-30,7.041,6.823,3.177,5.058
S8IVOEH2//D37-6-1,6.146,5.118,2.81,3.999
S8J1FLEQ//D40-4,7.058,5.82,0.985,3.428
S8JGEGPR//D37-6-2,6.146,5.108,2.797,4.005
S8JQ58J9//D37-7,7.003,5.812,3.151,4.565
S8JQUI4S//D59-31,7.002,6.821,2.802,4.888
S8K73W3V//D59-31-1-CT,5.261,5.438,2.807,4.158
S8KEKHV7//D37-6-3,6.153,5.117,2.789,3.981
S8KLBHKI//D37-8,7.03,5.837,2.812,4.341
S8L1IVBG//D37-6-4-CT,5.274,4.413,2.795,3.662
S8LO01LP//D59-32,6.955,6.829,3.167,5.065
S8LPH3OJ//D37-14,7.042,5.805,2.795,4.37
S8LW82QD//D37-9,7.021,6.829,3.176,5.036
S8MGW5D3//D37-13,7.005,5.826,3.171,4.524
S8N1M6RQ//D40-5,7.05,6.856,1.352,4.17
S8N5DET0//D37-12,6.991,6.84,2.791,4.859
S8N64U42//D37-14-1CT,6.148,5.121,2.809,3.998
S8N8D6UE//D37-10,7.029,6.834,3.187,5.036
S8NECJMT//D59-33,7.002,6.807,1.35,4.173
S8NFTLTD//D37-15,7.001,5.824,2.794,4.359
S8OJ9Q29//D37-11,7.001,6.805,2.807,4.889
S8PCWX9A//D59-34,6.977,6.802,3.17,5.082
S8Q7DWB0//D40-6,7.029,6.808,1.351,4.184
S8QN49G7//D37-16,6.999,5.795,3.167,4.529
S8RSQJ24//D59-35,7.003,6.814,1.344,4.144
S8SNWS2N//D59-36,6.987,6.834,3.193,5.046
S8TKM4BV//D40-7,7.011,6.83,0.989,3.946
S8TWL889//D37-17,7.025,5.805,2.804,4.375
S8UU1M6K//D59-37,7.018,6.849,3.167,5.07
S8W1O3VO//D59-38,7.003,6.79,3.18,5.056
S8XKSIKL//D59-39,6.994,6.809,2.8,4.874
S91H6L3M//D59-40,6.983,6.85,1.354,4.112
S935AS15//D59-41,6.985,6.817,3.153,5.066
S9362F3T//D37-18CT,7.021,5.826,2.815,4.357
S943H17G//D37-19,7.036,5.837,0.98,3.456
S94UER5Q//D59-42,6.996,6.808,3.168,5.055
S95TCFBF//D37-20,7.043,5.829,0.986,3.456
S96NR3FP//D59-43,7.0,6.841,3.156,5.114
S98JDOV2//D59-44,6.98,6.832,3.165,5.058
S9B6FE4T//D59-45,6.993,6.831,1.351,4.139
S9C9TIPU//D59-46,7.014,6.814,3.168,5.081
S9EKF18O//D59-47,6.996,6.817,2.818,4.894
S9G9AN83//D59-48,6.994,6.819,2.808,4.871
S9GNI37M//D59-49,6.99,6.838,2.795,4.887
S9H009WP//D59-48-1,6.115,6.119,2.795,4.53
S9HK78CL//D59-48-2,6.117,6.12,3.146,4.727
S9IG4WEF//D59-50,6.987,6.838,3.182,5.077
S9JAJQF3//D59-48-3,6.114,6.109,3.172,4.686
S9K78VHR//D59-51,6.994,6.823,3.179,5.052
S9L5EWSE//D59-48-4,6.13,6.119,3.162,4.698
S9M5TB4P//D59-52,6.996,6.83,2.778,4.89
S9MNRWGQ//D59-48-5,6.125,6.106,3.129,4.696
S9ODF1BO//D59-53,6.992,6.825,3.141,5.057
S9OEVVL6//D59-48-6,6.111,6.113,3.168,4.717
S9PP31O3//D59-48-7,6.094,6.12,3.183,4.758
S9QN92WJ//D59-48-8,6.12,6.143,0.995,3.642
S9R185I1//D59-54,6.997,6.817,2.792,4.891
S9R5OS3P//D59-48-9,6.118,6.124,3.165,4.737
S9SL4188//D59-55,6.984,6.805,2.803,4.905
S9SVK89X//D59-48-10,6.114,6.119,3.165,4.706
S9UVNI1O//D59-48-11,6.122,6.097,3.163,4.722
S9VK4R87//D59-56,6.995,6.834,3.146,5.049
S9WS1K4W//D59-57,6.986,6.836,2.818,4.914
S9WVQRRJ//D59-48-12,6.158,6.112,3.175,4.715
SA046O6W//D59-58,6.993,6.821,2.802,4.875
SA0WLIL2//D59-48-13,6.111,6.132,3.145,4.674
SA20IQMI//D59-59,7.01,6.813,3.175,5.095
SA2M8LLM//D59-48-14,6.1,6.108,2.787,4.548
SA3FW02P//D59-60,6.998,6.83,1.347,4.127
SA4W2N0P//D59-48-15,6.131,5.101,1.342,3.315
SA5L9D5K//D59-61,7.012,6.823,3.174,5.055
SA715OGG//D59-62,6.977,6.815,2.803,4.878
SA8L1K81//D59-63,6.994,6.829,2.789,4.87
SA9A8AUC//D59-64,7.012,6.828,2.776,4.909
SAA3VNQU//D59-63-1-CT,5.262,5.416,2.828,4.173
SAA3VNV0//D59-65,7.004,6.806,2.795,4.861
SAAR4EJ8//D59-66,6.995,6.812,2.797,4.893
SAF2AALR//D59-67,7.001,6.832,2.783,4.881
SAHBCV02//D59-68,6.984,6.808,2.78,4.904
SAHF4495//D59-68-1-CT,5.244,5.429,2.807,4.158
SAJTES0E//D59-69,7.008,6.842,2.785,4.87
SAM60AF0//D59-70,6.986,6.826,6.417,6.701
SAOEBFMR//D59-71,6.984,6.841,2.814,4.878
SAQ6WASR//D59-72,6.98,6.816,3.147,5.072
SAS99VNN//D59-73,6.993,6.818,3.181,5.055
SATW5JKO//D59-74,7.024,6.815,2.808,4.868
SAX2EF03//D59-76-1 CT,6.137,6.143,2.801,4.483
SAXCULNU//D59-76,6.992,6.825,2.459,4.662
SB15HGUF//D59-77,7.005,6.806,3.182,5.042
SB32L0DN//D59-78,6.995,6.83,3.148,5.097
SB4W7LQT//D59-79-1 CT,6.15,6.121,1.351,3.815
SB51WT27//D59-79,7.022,6.823,2.805,4.867
SB65CXNO//D59-80 CT,6.981,6.814,2.806,4.863
TAWHA09W//D59-75,6.982,6.877,2.433,4.69
