Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.508,5.632,3.146,4.427
RPUWQIFO//74-22-5-CT,4.406,3.73,3.174,3.47
RPWULH1G//74-22-3,5.522,4.62,3.908,4.278
RQ0W7MUL//74-22-2,5.541,4.607,4.951,4.854
RQ2HC35J//74-27,6.643,6.528,2.784,4.739
RQ2NBO45//79,7.712,6.377,2.794,4.633
RQ2O32O0//74-26,6.635,6.522,3.134,4.909
RQ2O34P5//74-2-1-CT,4.395,3.738,2.822,3.291
RQ2O35AP//81,7.711,6.374,2.795,4.669
RQ2RSBDX//74-10-1-CT,4.417,3.736,2.81,3.282
RQ2TB80M//74-3,6.605,5.499,2.798,4.2
RQ2U2NH2//78,7.725,6.36,2.793,4.688
RQ2VJJ4Q//74-4,6.619,5.5,5.008,5.306
RQ2WAWCD//74-25,6.634,6.512,3.139,4.885
RQ2WB0PA//79-1-CT,5.513,4.619,3.15,3.915
RQ3227SQ//77,7.721,6.366,2.804,4.632
RQ351XNN//74-3-1-CT,4.423,3.743,2.8,3.312
RQ351XTF//74,7.71,6.388,2.776,4.641
RQ35REIC//74-6,6.612,5.492,5.011,5.296
RQ36IS0S//74-24,6.627,6.526,3.18,4.914
RQ36IS7R//74-22-1,5.517,4.614,4.594,4.65
RQ36ITU7//74-2,6.605,5.517,2.794,4.199
RQ37A8RE//74-28,6.612,6.526,4.628,5.55
RQ38R6MC//74-7,6.611,5.505,3.155,4.383
RQ38R73O//74-1,6.614,5.501,2.794,4.213
RQ38R785//76,7.757,6.38,2.807,4.633
RQ3D9RJP//74-23,6.609,6.517,3.163,4.86
RQ3E19WA//74-8,6.604,5.518,3.162,4.366
RQ3E1AI0//75,7.723,6.388,3.174,4.87
RQ3HQH2A//74-10,6.615,5.508,4.602,5.11
RQ3IHW6E//74-9,6.621,5.505,3.168,4.344
RQ3K0TFG//82,7.703,6.37,6.786,6.637
RQ3M949X//74-22,6.591,5.517,3.171,4.425
RQ3OHGEU//74-11,6.604,5.497,3.138,4.386
RQ3TPIUD//74-21,6.604,5.485,5.029,5.319
RQ3TPJNW//74-12,6.612,5.493,3.168,4.381
RQ4087VA//74-13,6.617,5.519,3.163,4.377
RQ44OTL4//74-20,6.639,5.503,4.964,5.299
RQ44OU50//74-14,6.619,5.48,3.154,4.401
RQ4AOEG4//74-15,6.618,5.505,3.165,4.353
RQ4C7A7X//74-19,6.62,5.479,2.821,4.197
RQ4CWPID//74-16,6.648,5.512,3.208,4.35
RQ4CWRDB//83,7.723,6.37,3.157,4.825
RQ4HFDQA//74-17,6.615,5.523,3.175,4.383
RQ4KF5UF//74-18,6.599,5.501,3.168,4.402
RQ4O6CAL//74-29,6.626,6.537,2.816,4.713
RQ4RVMH0//84,7.714,6.369,2.816,4.634
RQ52UWT5//80-1-CT,5.493,4.632,2.804,3.751
RQ5BU910//73,7.712,6.367,3.159,4.818
RQ5HTS99//85,7.726,6.362,2.793,4.656
RQ61SCFJ//74-30,6.607,6.531,3.537,5.083
RQ6M1DXH//86,7.713,6.363,2.79,4.674
RQ6R9HBI//86-1-CT,5.526,4.617,2.806,3.757
RQ7JG075//87,7.732,6.39,2.803,4.609
RQ7SF9TF//72,7.721,6.39,3.18,4.835
RQ82N36S//74-31,6.639,6.514,3.511,5.059
RQ82N3G8//74-33-5,5.535,5.613,1.706,3.766
RQ8AUX4A//74-33-6-CT,4.408,4.771,1.712,3.266
RQ8EM99R//88,7.695,6.38,3.509,5.02
RQ8UCGAG//74-33-4,5.511,5.617,6.805,6.291
