Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RR9L73WC//59,7.837,6.487,3.238,4.946
RR9U6EJ3//59-1,6.716,5.582,2.882,4.307
RRAB59FH//59-3-A1,5.591,4.684,2.871,3.852
RRAPCNEN//59-3,6.73,5.597,3.241,4.46
RRAVC7SP//59-3-B1,5.612,4.694,1.009,2.93
RRBTI956//59-2,6.702,5.585,3.241,4.467
RRDA61MW//58,7.81,6.484,3.244,4.982
RRH7CSX5//57,7.835,6.47,2.879,4.729
RRKD4KI7//56,7.858,6.454,3.252,4.985
RRNHDFXP//55,7.866,6.479,3.239,4.966
RRQJE09U//54,7.83,6.484,2.886,4.747
RRRUAJIN//53,7.812,6.464,3.241,4.953
RRTA6V0M//52,7.827,6.477,3.597,5.097
RRULSVBA//51,7.847,6.47,3.239,4.955
RRVUH5EV//50,7.83,6.457,4.716,5.706
RRXRKN1Q//49,7.845,6.463,3.248,4.986
RS1HX76K//48,7.836,6.492,2.862,4.785
RS29E92M//47,7.832,6.483,3.248,4.948
RS30TAWM//46,7.822,6.486,2.884,4.774
RS40I8FR//45,7.836,6.5,2.881,4.796
RS53WD64//44,7.849,6.461,2.863,4.777
RT82CO7C//D34-3,6.709,5.611,2.887,4.323
RT8L2QFF//D34-2,6.736,5.589,2.862,4.288
RT9A9GXW//D34-1,6.712,5.599,2.882,4.321
RTIES7OX//D31-1-CT,5.627,4.699,2.879,3.854
RVWXPSPU//D6-1-CT,5.627,4.699,2.888,3.866
SR2JKGWT/80,7.914,6.534,2.505,4.622
SR31ARAI//74-5,6.701,5.575,3.228,4.484
S5OHC14B//D8,7.49,6.193,1.01,3.71
S5OKBRG7//D7,7.552,6.252,2.501,4.466
S5ONBJQT//D6,7.623,6.298,2.506,4.468
S5OQBC3W//D5,7.683,6.352,2.49,4.53
S5OSJNC8//D4,7.746,6.439,2.508,4.568
S5OVJFN8//D3,7.804,6.484,2.518,4.581
S5OWAURA//D2X2,6.022,5.027,1.384,3.298
S5P2246G//D1,7.953,6.578,2.509,4.637
S5PE16WJ//D2,7.916,6.53,1.388,4.057
S5PFI312//D2X1,6.019,5.042,1.376,3.267
S5QI6POO//D9,7.407,6.147,1.013,3.661
S5S3B69E//D10,7.354,6.093,1.012,3.626
S5TGG2EI//D11,7.269,6.027,1.008,3.62
S5VC2NN1//D12,7.221,5.976,2.481,4.333
S5WXFFCR//D13,7.172,5.913,1.01,3.574
S61G0G0W//D14,7.102,5.867,1.008,3.492
S62DF24C//D15,7.031,5.814,1.382,3.679
S62H68M6//D18-5CT,7.118,5.887,2.879,4.495
S63NK5H8//D18-4,7.133,5.92,2.873,4.445
S644J141//D16,6.931,5.781,1.384,3.669
S651XKPV//D18-3,7.128,5.892,3.245,4.641
S66F4H2C//D18-2,7.154,5.925,2.86,4.478
S68C80M4//D18-1,7.139,5.927,2.883,4.492
S68L7B9D//D18,6.803,5.66,2.494,4.161
S68WEX0Q//D18-1-1CT,6.229,5.199,1.377,3.36
S69FM59I//D17,6.891,5.713,1.009,3.401
S6B014RF//D19,6.758,5.601,1.012,3.371
S6DKBCST//D20,6.675,5.542,1.009,3.328
S6GW2MLG//D21,6.573,5.477,1.004,3.324
S6JOCF2T//D22,6.549,5.435,1.008,3.313
S6MND6XT//D23,6.477,5.392,1.009,3.27
S6POMA23//D24,6.41,5.302,1.013,3.256
S6TMKI7P//D25,6.331,5.254,2.507,3.959
S6WGD6QK//D26,6.281,5.224,1.014,3.177
S6X7S4UK//189-15-CT,6.107,5.081,2.875,4.061
S6XPQQ6E//189-14,6.977,5.775,2.869,4.406
S7058P58//189-13,6.993,5.784,2.884,4.393
S70SFJ8S//D27,6.19,5.162,2.514,3.924
S71467HF//189-12,6.928,5.799,4.715,5.363
S71G5AC8//189-11,6.966,5.799,2.866,4.41
S73NP0J2//189-10,6.965,5.769,2.884,4.423
S74SM4JO//D28,6.114,5.111,1.011,3.118
S75OJP8F//189-9,6.958,5.809,2.886,4.415
S77KVV12//D29,6.063,5.049,1.004,3.092
S78157MX//189-8,6.952,5.781,2.874,4.431
S783DILX//189-6-1-CT,5.216,4.396,2.883,3.699
S7AAX8X3//189-7,6.959,5.752,2.856,4.372
S7AKO0K3//189-6,6.978,5.791,2.88,4.417
S7ALFFNX//189-7-1,6.104,5.09,2.873,4.022
S7ATNEM5//D30,5.981,5.016,1.011,3.093
S7BSKRFB//189-5,6.962,5.796,3.231,4.617
S7CKR95N//D59-3-11,6.206,5.171,2.896,4.084
S7CN1LDA//189-4,6.974,5.8,3.233,4.576
S7CT14OH//D59-3-10-1-CT,4.427,3.752,2.862,3.382
S7CWQBXF//D59-3-10,6.194,5.166,2.844,4.114
S7DAPFTG//189-3,6.968,5.777,1.39,3.672
S7DXW5GE//D59-3-9,6.182,5.165,2.863,4.126
S7EULF2I//D31,5.918,4.964,1.015,3.058
S7FUA7XL//D59-3-8,6.171,5.167,2.871,4.106
S7I8CKKC//D59-3-7,6.196,5.183,3.247,4.29
S7K3X81U//D59-3-6,6.199,5.168,2.879,4.076
S7K8FV77//D59,4.016,3.426,2.488,3.019
S7KO6AMP//D32,5.859,4.909,1.006,3.027
S7LWSE9U//D59-3-5-2-CT,4.428,3.743,2.856,3.365
S7M72A6O//D59-3-3,6.193,5.163,2.86,4.112
S7MARHA0//D59-3-5,6.208,5.159,2.881,4.094
S7MBIWHE//D59-3-3-1-CT,4.419,3.748,2.863,3.388
S7ML9NUP//D59-3-5-1,5.313,4.456,2.867,3.721
S7N5XQHB//D59-3-2,6.196,5.161,2.879,4.085
S7NGG35B//D33,5.799,4.819,1.009,2.993
S7NHWU4V//D58,4.106,3.483,1.013,2.282
S7NTVW28//D59-3-4,6.169,5.158,2.862,4.075
S7OJ4NLW//D57,4.156,3.532,2.479,3.068
S7OPTMG9//D59-1,7.089,5.853,1.008,3.544
S7PI254F//D59-3-1,6.187,5.165,2.858,4.11
S7Q6HER3//D59-2,7.089,5.876,2.844,4.444
S7R0WCF7//D34,5.737,4.797,1.009,2.995
S7R36JTR//D59-3,7.098,5.87,2.889,4.462
S7RO508P//D56,4.214,3.574,1.01,2.349
S7S2TH5D//D59-4,7.067,5.879,2.852,4.487
S7T5I6LW//D59-5,7.075,5.871,2.869,4.486
S7TF8XFQ//D55,4.295,3.638,1.377,2.565
S7UGEPQA//D59-5-1,6.206,5.168,2.882,4.087
S7UK5WW1//D59-6,7.076,5.859,3.234,4.613
S7URMHAB//D35,5.657,4.718,2.488,3.673
S7VJ3F5T//D59-7,7.085,5.871,3.227,4.631
S7VJ3FC1//D59-5-2,6.171,5.163,2.88,4.099
S7WF15FQ//D59-5-3,6.184,5.165,2.871,4.092
S7WIQCFE//D59-8,7.072,5.877,2.865,4.478
S7XG6WWF//D59-5-4-CT,5.313,4.445,2.881,3.704
S7XMVW0M//D59-9,7.041,5.88,3.229,4.633
S8005LC0//D54,4.368,3.68,2.505,3.17
S806545G//D59-10,7.096,5.887,3.248,4.636
S8065866//D36,5.598,4.688,1.011,2.914
S814B5B6//D59-11,7.075,5.89,3.233,4.665
S81H1N5Q//D59-12-1-CT,5.32,4.456,2.877,3.752
S81W0I6H//D59-12,7.087,5.894,1.379,3.708
S82CXD65//D59-13,7.115,5.891,2.874,4.466
S83RL7FF//D53,4.42,3.757,2.49,3.192
S841T57R//D37,5.51,4.625,2.489,3.625
S84734ES//D59-14,7.095,5.883,3.263,4.651
S84736GE//D52,4.491,3.809,1.009,2.469
S84J2977//D53-1,7.084,5.862,1.382,3.716
S84NIXJ3//D38,5.43,4.564,1.011,2.866
S84NIXPC//D37-1,7.091,5.874,1.379,3.737
S84S1M0G//D37-1-1,6.205,5.183,3.233,4.316
S84WIA2F//D39,5.371,4.498,1.015,2.842
S8530W8B//D40,5.328,4.447,2.51,3.55
S853QBGQ//D53-2,7.118,5.876,2.877,4.444
S856Q41I//D51,4.572,3.863,1.006,2.484
S859PVF1//D42-2-CT,6.202,5.187,2.881,4.086
S85AHD29//D37-1-3CT,6.223,5.174,2.895,4.089
S85GGRDN//D59-15,7.086,5.878,2.856,4.452
S85IP4H6//D59-16-1CT,6.171,5.167,1.368,3.341
S85JGM0G//D50,4.628,3.907,1.011,2.503
S85UOAUI//D42-1,7.106,5.9,2.828,4.478
S860FGKE//D53-3,7.105,5.874,2.862,4.487
S8646LTF//D59-16,7.079,5.878,3.237,4.607
S865NLKC//D41,5.244,4.406,1.011,2.774
S86A6896//D53-4,7.106,5.887,2.858,4.47
S86FECA3//D49,4.706,3.948,1.005,2.555
S86G5S8R//D42,5.161,4.349,2.5,3.478
S86JV1D6//D43,5.123,4.307,2.481,3.471
S86ODNJ7//D44,5.061,4.242,1.01,2.679
S86S4VRT//D37-1-X-1,5.337,4.468,3.213,3.925
S86UD7R5//D45,4.986,4.194,1.004,2.643
S86WLITM//D46,4.901,4.138,1.013,2.638
S872CQ0G//D47,4.847,4.075,1.008,2.614
S873TJ4G//D59-17,7.07,5.881,3.22,4.618
S8763X5V//D48,4.769,4.023,1.007,2.571
S87L2SME//D44-1,7.111,5.873,1.011,3.544
S885QRIM//D59-18,7.106,5.877,3.229,4.636
S88D9C3N//D40-1,7.099,5.897,1.381,3.735
S88WOSRW//D44-2-CT,6.225,5.178,2.881,4.121
S89ANS5P//D59-19,7.093,5.85,3.235,4.63
S89RV4VL//D37-2,7.088,5.878,3.222,4.67
S8B6AK5T//D37-3,7.113,5.892,3.236,4.664
S8B71UGX//D59-20,7.081,6.919,3.231,5.161
S8BMQAWE//D40-2,7.103,5.871,1.005,3.543
S8C3P1J7//D59-21,7.074,6.924,3.235,5.19
S8D5METU//D37-4,7.108,5.902,3.234,4.658
S8DICRSO//D59-22,7.094,6.899,1.375,4.23
S8E32U09//D59-26-1-CT,5.328,5.472,2.853,4.269
S8EPIACX//D40-3,7.101,5.897,1.397,3.716
S8EUQ8WK//D59-26,7.08,6.915,2.878,4.974
S8FV6L93//D59-27,7.083,6.917,3.24,5.192
S8GBE6DU//D37-5,7.095,5.874,3.252,4.661
S8GX3TNL//D59-28,7.087,6.899,3.233,5.157
S8HV9UT5//D59-29,7.104,6.905,3.23,5.203
S8I411LT//D37-6,7.128,5.895,2.867,4.465
S8IUWS47//D59-30,7.088,6.927,3.225,5.152
S8IVOEH2//D37-6-1,6.229,5.197,2.87,4.119
S8J1FLEQ//D40-4,7.111,5.879,1.01,3.537
S8JGEGPR//D37-6-2,6.2,5.142,2.875,4.108
S8JQ58J9//D37-7,7.095,5.863,3.243,4.667
S8JQUI4S//D59-31,7.075,6.908,2.852,5.025
S8K73W3V//D59-31-1-CT,5.331,5.461,2.881,4.281
S8KEKHV7//D37-6-3,6.225,5.167,2.849,4.111
S8KLBHKI//D37-8,7.106,5.911,2.861,4.479
S8L1IVBG//D37-6-4-CT,5.336,4.474,2.86,3.761
S8LO01LP//D59-32,7.072,6.882,3.251,5.15
S8LPH3OJ//D37-14,7.104,5.878,2.872,4.487
S8LW82QD//D37-9,7.136,6.927,3.226,5.194
S8MGW5D3//D37-13,7.094,5.916,3.228,4.636
S8N1M6RQ//D40-5,7.102,6.936,1.369,4.255
S8N5DET0//D37-12,7.102,6.931,2.867,4.975
S8N64U42//D37-14-1CT,6.221,5.18,2.89,4.111
S8N8D6UE//D37-10,7.128,6.947,3.242,5.211
S8NECJMT//D59-33,7.051,6.899,1.382,4.264
S8NFTLTD//D37-15,7.097,5.896,2.859,4.47
S8OJ9Q29//D37-11,7.093,6.928,2.863,5.01
S8PCWX9A//D59-34,7.123,6.886,3.228,5.175
S8Q7DWB0//D40-6,7.104,6.915,1.388,4.276
S8QN49G7//D37-16,7.129,5.892,3.256,4.649
S8RSQJ24//D59-35,7.075,6.903,1.379,4.2
S8SNWS2N//D59-36,7.077,6.892,3.257,5.192
S8TKM4BV//D40-7,7.113,6.936,1.005,4.072
S8TWL889//D37-17,7.094,5.899,2.874,4.471
S8UU1M6K//D59-37,7.105,6.927,3.238,5.167
S8W1O3VO//D59-38,7.076,6.905,3.23,5.192
S8XKSIKL//D59-39,7.077,6.918,2.879,4.967
S91H6L3M//D59-40,7.073,6.905,1.38,4.237
S935AS15//D59-41,7.09,6.916,3.227,5.143
S9362F3T//D37-18CT,7.123,5.89,2.845,4.47
S943H17G//D37-19,7.085,5.89,1.013,3.535
S94UER5Q//D59-42,7.077,6.902,3.219,5.164
S95TCFBF//D37-20,7.113,5.882,1.01,3.531
S96NR3FP//D59-43,7.074,6.939,3.23,5.179
S98JDOV2//D59-44,7.093,6.915,3.259,5.162
S9B6FE4T//D59-45,7.072,6.899,1.375,4.204
S9C9TIPU//D59-46,7.098,6.925,3.216,5.185
S9EKF18O//D59-47,7.076,6.926,2.87,4.975
S9G9AN83//D59-48,7.09,6.914,2.873,4.997
S9GNI37M//D59-49,7.083,6.912,2.862,4.98
S9H009WP//D59-48-1,6.214,6.178,2.881,4.638
S9HK78CL//D59-48-2,6.205,6.181,3.257,4.791
S9IG4WEF//D59-50,7.092,6.916,3.226,5.164
S9JAJQF3//D59-48-3,6.198,6.218,3.244,4.802
S9K78VHR//D59-51,7.07,6.918,3.235,5.162
S9L5EWSE//D59-48-4,6.212,6.199,3.224,4.796
S9M5TB4P//D59-52,7.088,6.903,2.86,5.0
S9MNRWGQ//D59-48-5,6.195,6.2,3.237,4.85
S9ODF1BO//D59-53,7.087,6.911,3.25,5.197
S9OEVVL6//D59-48-6,6.202,6.22,3.244,4.841
