Support_ID,H1_KPI_weighted_power,H2_birdlife_KPI,H3_defecs_severity_KPI
RS40I8FR//45,7.869,0.0,0.0
RS53WD64//44,7.857,0.0,0.0
RT82CO7C//D34-3,6.725,0.0,0.0
RT8L2QFF//D34-2,6.728,0.0,0.0
RT9A9GXW//D34-1,6.719,0.0,0.0
RTIES7OX//D31-1-CT,5.618,0.0,0.0
RVWXPSPU//D6-1-CT,5.615,0.0,0.0
SR2JKGWT/80,7.911,0.0,0.0
SR31ARAI//74-5,6.721,0.0,0.0
S5OHC14B//D8,7.491,0.0,0.0
S5OKBRG7//D7,7.535,0.0,0.0
S5ONBJQT//D6,7.654,0.0,0.0
S5OQBC3W//D5,7.692,0.0,0.0
S5OSJNC8//D4,7.76,0.0,0.0
S5OVJFN8//D3,7.835,0.0,0.0
S5OWAURA//D2X2,6.025,0.0,0.0
S5P2246G//D1,7.977,0.0,0.0
S5PE16WJ//D2,7.883,0.0,0.0
S5PFI312//D2X1,6.016,0.0,0.0
S5QI6POO//D9,7.441,0.0,0.0
S5S3B69E//D10,7.356,0.0,0.0
S5TGG2EI//D11,7.298,0.0,0.0
S5VC2NN1//D12,7.172,0.0,0.0
S5WXFFCR//D13,7.151,0.0,0.0
S61G0G0W//D14,7.085,0.0,0.0
S62DF24C//D15,6.998,0.0,0.0
S62H68M6//D18-5CT,7.149,0.0,0.0
S63NK5H8//D18-4,7.095,0.0,0.0
S644J141//D16,6.932,0.0,0.0
S651XKPV//D18-3,7.113,0.0,1.03
S66F4H2C//D18-2,7.121,0.0,0.0
S68C80M4//D18-1,7.103,0.0,0.0
S68L7B9D//D18,6.798,0.0,0.0
S68WEX0Q//D18-1-1CT,6.282,0.0,0.0
S69FM59I//D17,6.883,0.0,0.0
S6B014RF//D19,6.759,0.0,0.0
S6DKBCST//D20,6.667,0.0,0.0
S6GW2MLG//D21,6.591,0.0,0.0
S6JOCF2T//D22,6.553,0.0,0.0
S6MND6XT//D23,6.467,0.0,0.0
S6POMA23//D24,6.419,0.0,0.0
S6TMKI7P//D25,6.339,0.0,0.0
S6WGD6QK//D26,6.259,0.0,0.0
S6X7S4UK//189-15-CT,6.093,0.0,0.0
S6XPQQ6E//189-14,6.961,0.0,0.0
S7058P58//189-13,6.964,0.0,0.0
S70SFJ8S//D27,6.199,0.0,0.0
S71467HF//189-12,6.967,0.0,5.149
S71G5AC8//189-11,6.974,0.0,0.0
S73NP0J2//189-10,6.963,0.0,0.0
S74SM4JO//D28,6.145,0.0,0.0
S75OJP8F//189-9,6.981,0.0,0.0
S77KVV12//D29,6.073,0.0,0.0
S78157MX//189-8,6.98,0.0,0.0
S783DILX//189-6-1-CT,5.221,0.0,0.0
S7AAX8X3//189-7,6.94,0.0,0.0
S7AKO0K3//189-6,6.973,0.0,0.0
S7ALFFNX//189-7-1,6.104,0.0,0.0
S7ATNEM5//D30,5.965,0.0,0.0
S7BSKRFB//189-5,6.969,0.0,0.0
S7CKR95N//D59-3-11,6.2,0.0,0.0
S7CN1LDA//189-4,6.969,0.0,0.0
S7CT14OH//D59-3-10-1-CT,4.436,0.0,0.0
S7CWQBXF//D59-3-10,6.194,0.0,0.0
S7DAPFTG//189-3,6.995,0.0,0.0
S7DXW5GE//D59-3-9,6.204,0.0,0.0
S7EULF2I//D31,5.943,0.0,0.0
S7FUA7XL//D59-3-8,6.19,0.0,0.0
S7I8CKKC//D59-3-7,6.202,0.0,0.0
S7K3X81U//D59-3-6,6.193,0.0,0.0
S7K8FV77//D59,4.038,0.0,0.0
S7KO6AMP//D32,5.823,0.0,0.0
S7LWSE9U//D59-3-5-2-CT,4.435,0.0,0.0
S7M72A6O//D59-3-3,6.219,0.0,0.0
S7MARHA0//D59-3-5,6.195,0.0,0.0
S7MBIWHE//D59-3-3-1-CT,4.425,0.0,0.0
S7ML9NUP//D59-3-5-1,5.314,0.0,0.0
S7N5XQHB//D59-3-2,6.203,0.0,0.0
S7NGG35B//D33,5.797,0.0,0.0
S7NHWU4V//D58,4.063,0.0,0.0
S7NTVW28//D59-3-4,6.176,0.0,0.0
S7OJ4NLW//D57,4.158,0.0,0.0
S7OPTMG9//D59-1,7.093,0.0,0.0
S7PI254F//D59-3-1,6.182,0.0,0.0
S7Q6HER3//D59-2,7.093,0.0,0.0
S7R0WCF7//D34,5.726,0.0,0.0
S7R36JTR//D59-3,7.064,0.0,0.0
S7RO508P//D56,4.212,0.0,0.0
S7S2TH5D//D59-4,7.079,0.0,0.0
S7T5I6LW//D59-5,7.072,0.0,0.0
S7TF8XFQ//D55,4.275,0.0,1.031
S7UGEPQA//D59-5-1,6.176,0.0,0.0
S7UK5WW1//D59-6,7.085,0.0,0.0
S7URMHAB//D35,5.652,0.0,0.0
S7VJ3F5T//D59-7,7.08,0.0,0.0
S7VJ3FC1//D59-5-2,6.206,0.0,0.0
S7WF15FQ//D59-5-3,6.184,0.0,0.0
S7WIQCFE//D59-8,7.087,0.0,0.0
S7XG6WWF//D59-5-4-CT,5.316,0.0,0.0
S7XMVW0M//D59-9,7.069,0.0,0.0
S8005LC0//D54,4.359,0.0,0.0
S806545G//D59-10,7.042,0.0,0.0
S8065866//D36,5.568,0.0,0.0
S814B5B6//D59-11,7.082,0.0,0.0
S81H1N5Q//D59-12-1-CT,5.324,0.0,0.0
S81W0I6H//D59-12,7.057,0.0,0.0
S82CXD65//D59-13,7.084,0.0,0.0
S83RL7FF//D53,4.435,0.0,0.0
S841T57R//D37,5.511,0.0,0.0
S84734ES//D59-14,7.083,0.0,0.0
S84736GE//D52,4.499,0.0,0.0
S84J2977//D53-1,7.095,0.0,0.0
S84NIXJ3//D38,5.45,0.0,0.0
S84NIXPC//D37-1,7.097,0.0,0.0
S84S1M0G//D37-1-1,6.214,0.0,0.0
S84WIA2F//D39,5.382,0.0,0.0
S8530W8B//D40,5.298,0.0,0.0
S853QBGQ//D53-2,7.099,0.0,0.0
S856Q41I//D51,4.57,0.0,0.0
S859PVF1//D42-2-CT,6.219,0.0,0.0
S85AHD29//D37-1-3CT,6.24,0.0,0.0
S85GGRDN//D59-15,7.091,0.0,0.0
S85IP4H6//D59-16-1CT,6.201,0.0,0.0
S85JGM0G//D50,4.63,0.0,0.0
S85UOAUI//D42-1,7.121,0.0,0.0
S860FGKE//D53-3,7.1,0.0,0.0
S8646LTF//D59-16,7.093,0.0,0.0
S865NLKC//D41,5.248,0.0,0.0
S86A6896//D53-4,7.088,0.0,0.0
S86FECA3//D49,4.704,0.0,0.0
S86G5S8R//D42,5.179,0.0,0.0
S86JV1D6//D43,5.106,0.0,0.0
S86ODNJ7//D44,5.058,0.0,0.0
S86S4VRT//D37-1-X-1,5.341,0.0,0.0
S86UD7R5//D45,4.941,0.0,0.0
S86WLITM//D46,4.9,0.0,0.0
S872CQ0G//D47,4.832,0.0,0.0
S873TJ4G//D59-17,7.085,0.0,0.0
S8763X5V//D48,4.773,0.0,0.0
S87L2SME//D44-1,7.14,0.0,0.0
S885QRIM//D59-18,7.103,0.0,0.0
S88D9C3N//D40-1,7.115,0.0,0.0
S88WOSRW//D44-2-CT,6.237,0.0,0.0
S89ANS5P//D59-19,7.08,0.0,0.0
S89RV4VL//D37-2,7.097,0.0,0.0
S8B6AK5T//D37-3,7.121,0.0,0.0
S8B71UGX//D59-20,7.08,10.122,0.0
S8BMQAWE//D40-2,7.101,0.0,0.0
S8C3P1J7//D59-21,7.065,10.12,0.0
S8D5METU//D37-4,7.138,0.0,0.0
S8DICRSO//D59-22,7.113,10.126,0.0
S8E32U09//D59-26-1-CT,5.332,10.121,0.0
S8EPIACX//D40-3,7.13,0.0,0.0
S8EUQ8WK//D59-26,7.111,10.123,0.0
S8FV6L93//D59-27,7.093,10.115,0.0
S8GBE6DU//D37-5,7.102,0.0,0.0
S8GX3TNL//D59-28,7.066,10.11,0.0
S8HV9UT5//D59-29,7.078,10.133,0.0
S8I411LT//D37-6,7.108,0.0,0.0
S8IUWS47//D59-30,7.095,10.135,0.0
S8IVOEH2//D37-6-1,6.23,0.0,0.0
S8J1FLEQ//D40-4,7.119,0.0,0.0
S8JGEGPR//D37-6-2,6.216,0.0,0.0
S8JQ58J9//D37-7,7.106,0.0,0.0
S8JQUI4S//D59-31,7.075,10.106,0.0
S8K73W3V//D59-31-1-CT,5.317,10.124,0.0
S8KEKHV7//D37-6-3,6.221,0.0,0.0
S8KLBHKI//D37-8,7.115,0.0,0.0
S8L1IVBG//D37-6-4-CT,5.349,0.0,0.0
S8LO01LP//D59-32,7.071,10.119,0.0
S8LPH3OJ//D37-14,7.095,0.0,0.0
S8LW82QD//D37-9,7.127,10.127,0.0
S8MGW5D3//D37-13,7.108,0.0,0.0
S8N1M6RQ//D40-5,7.068,10.127,0.0
S8N5DET0//D37-12,7.088,10.124,0.0
S8N64U42//D37-14-1CT,6.231,0.0,0.0
S8N8D6UE//D37-10,7.096,10.113,0.0
S8NECJMT//D59-33,7.08,10.137,0.0
S8NFTLTD//D37-15,7.108,0.0,0.0
S8OJ9Q29//D37-11,7.102,10.135,0.0
S8PCWX9A//D59-34,7.106,10.134,0.0
S8Q7DWB0//D40-6,7.121,10.112,0.0
S8QN49G7//D37-16,7.104,0.0,0.0
S8RSQJ24//D59-35,7.088,10.125,0.0
S8SNWS2N//D59-36,7.098,10.126,0.0
S8TKM4BV//D40-7,7.104,10.13,0.0
S8TWL889//D37-17,7.112,0.0,0.0
S8UU1M6K//D59-37,7.084,10.142,0.0
S8W1O3VO//D59-38,7.076,10.119,0.0
S8XKSIKL//D59-39,7.07,10.115,0.0
S91H6L3M//D59-40,7.088,10.122,0.0
S935AS15//D59-41,7.058,10.117,0.0
S9362F3T//D37-18CT,7.091,0.0,0.0
S943H17G//D37-19,7.088,0.0,0.0
S94UER5Q//D59-42,7.106,10.124,0.0
S95TCFBF//D37-20,7.092,0.0,0.0
S96NR3FP//D59-43,7.11,10.132,0.0
S98JDOV2//D59-44,7.086,10.116,0.0
S9B6FE4T//D59-45,7.062,10.12,0.0
S9C9TIPU//D59-46,7.072,10.137,0.0
S9EKF18O//D59-47,7.08,10.129,0.0
S9G9AN83//D59-48,7.087,10.13,0.0
S9GNI37M//D59-49,7.084,10.124,0.0
S9H009WP//D59-48-1,6.201,10.123,0.0
S9HK78CL//D59-48-2,6.185,10.122,0.0
S9IG4WEF//D59-50,7.1,10.12,0.0
S9JAJQF3//D59-48-3,6.212,10.113,0.0
S9K78VHR//D59-51,7.092,10.132,0.0
S9L5EWSE//D59-48-4,6.181,10.116,0.0
S9M5TB4P//D59-52,7.1,10.127,0.0
S9MNRWGQ//D59-48-5,6.181,10.127,0.0
