Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.661,5.774,3.315,4.668
RPUWQIFO//74-22-5-CT,4.516,3.829,3.31,3.657
RPWULH1G//74-22-3,5.656,4.736,4.077,4.508
RQ0W7MUL//74-22-2,5.647,4.724,5.215,5.079
RQ2HC35J//74-27,6.781,6.674,2.937,4.954
RQ2NBO45//79,7.902,6.521,2.913,4.854
RQ2O32O0//74-26,6.789,6.688,3.309,5.162
RQ2O34P5//74-2-1-CT,4.511,3.822,2.943,3.46
RQ2O35AP//81,7.913,6.54,2.931,4.862
RQ2RSBDX//74-10-1-CT,4.514,3.833,2.933,3.448
RQ2TB80M//74-3,6.79,5.635,2.936,4.4
RQ2U2NH2//78,7.898,6.537,2.939,4.877
RQ2VJJ4Q//74-4,6.77,5.636,5.205,5.551
RQ2WAWCD//74-25,6.783,6.688,3.316,5.159
RQ2WB0PA//79-1-CT,5.642,4.726,3.307,4.129
RQ3227SQ//77,7.899,6.537,2.938,4.873
RQ351XNN//74-3-1-CT,4.52,3.827,2.931,3.458
RQ351XTF//74,7.911,6.522,2.935,4.873
RQ35REIC//74-6,6.799,5.638,5.217,5.549
RQ36IS0S//74-24,6.783,6.685,3.302,5.144
RQ36IS7R//74-22-1,5.656,4.724,4.838,4.886
RQ36ITU7//74-2,6.779,5.636,2.929,4.391
RQ37A8RE//74-28,6.785,6.667,4.831,5.913
RQ38R6MC//74-7,6.793,5.635,3.315,4.609
RQ38R73O//74-1,6.781,5.634,2.939,4.391
RQ38R785//76,7.919,6.554,2.941,4.871
RQ3D9RJP//74-23,6.791,6.686,3.317,5.14
RQ3E19WA//74-8,6.793,5.633,3.328,4.61
RQ3E1AI0//75,7.908,6.522,3.314,5.078
RQ3HQH2A//74-10,6.791,5.62,4.837,5.35
RQ3IHW6E//74-9,6.783,5.648,3.323,4.587
RQ3K0TFG//82,7.903,6.544,7.117,6.955
RQ3M949X//74-22,6.778,5.635,3.318,4.587
RQ3OHGEU//74-11,6.785,5.634,3.309,4.602
RQ3TPIUD//74-21,6.782,5.641,5.204,5.534
RQ3TPJNW//74-12,6.784,5.645,3.309,4.559
RQ4087VA//74-13,6.79,5.645,3.312,4.586
RQ44OTL4//74-20,6.781,5.613,5.205,5.54
RQ44OU50//74-14,6.787,5.641,3.314,4.609
RQ4AOEG4//74-15,6.782,5.634,3.313,4.594
RQ4C7A7X//74-19,6.786,5.645,2.936,4.414
RQ4CWPID//74-16,6.773,5.635,3.317,4.594
RQ4CWRDB//83,7.922,6.542,3.311,5.065
RQ4HFDQA//74-17,6.772,5.646,3.332,4.603
RQ4KF5UF//74-18,6.777,5.633,3.324,4.579
RQ4O6CAL//74-29,6.755,6.67,2.941,4.926
RQ4RVMH0//84,7.908,6.527,2.944,4.882
RQ52UWT5//80-1-CT,5.639,4.733,2.938,3.931
RQ5BU910//73,7.911,6.554,3.313,5.076
RQ5HTS99//85,7.868,6.551,2.931,4.887
RQ61SCFJ//74-30,6.788,6.682,3.697,5.335
RQ6M1DXH//86,7.906,6.542,2.942,4.885
RQ6R9HBI//86-1-CT,5.65,4.738,2.929,3.905
RQ7JG075//87,7.915,6.537,2.935,4.874
RQ7SF9TF//72,7.923,6.551,3.316,5.065
RQ82N36S//74-31,6.771,6.681,3.708,5.32
