,index,LA,action,,,,
0,1,0.154,Keep the current maintenance,,,,
1,2,0.471,Keep the current maintenance,,,,
2,3,0.471,Keep the current maintenance,,,,0.229633333
3,4,0.471,Keep the current maintenance,,,,
4,5,0.471,Keep the current maintenance,,,,0.175514511
5,6,0.471,Keep the current maintenance,,,,
6,7,0.311,Keep the current maintenance,,,,
7,8,0.262,Keep the current maintenance,,,,
8,9,0.243,Keep the current maintenance,,,,
9,10,0.465,Keep the current maintenance,,,,
10,11,0.465,Keep the current maintenance,,,,
11,12,0.465,Keep the current maintenance,,,,
12,13,0.465,Keep the current maintenance,,,,
13,14,0.233,Keep the current maintenance,,,,
14,15,0.171,Keep the current maintenance,,,,
15,16,0.171,Keep the current maintenance,,,,
16,17,0.128,Keep the current maintenance,,,,
17,18,0.082,Keep the current maintenance,,,,
18,19,0.082,Keep the current maintenance,,,,
19,20,0.025,Keep the current maintenance,,,,
20,21,0.056,Keep the current maintenance,,,,
21,22,0.036,Keep the current maintenance,,,,
22,23,0.03,Keep the current maintenance,,,,
23,24,0.107,Keep the current maintenance,,,,
24,25,0.111,Keep the current maintenance,,,,
25,26,0.2,Keep the current maintenance,,,,
26,27,0.02,Keep the current maintenance,,,,
27,28,0.01,Keep the current maintenance,,,,
28,29,0.195,Keep the current maintenance,,,,
29,30,0.047,Keep the current maintenance,,,,
