index,Life Assessment,Total_Indicator
1,0.113,0.113
2,0.043,0.043
3,0.142,0.142
4,0.46,0.46
5,0.259,0.259
6,0.065,0.065
7,0.048,0.048
8,0.057,0.057
9,0.057,0.057
10,0.077,0.077
11,0.076,0.076
12,0.349,0.349
13,0.032,0.032
14,0.148,0.148
15,0.148,0.148
16,0.109,0.109
17,0.562,0.562
18,0.054,0.054
19,0.535,0.535
20,0.211,0.211
21,0.128,0.128
22,0.128,0.128
23,0.055,0.055
24,0.102,0.102
25,0.047,0.047
26,0.046,0.046
27,0.062,0.062
28,0.169,0.169
29,0.072,0.072
30,0.29,0.29
31,0.08,0.08
32,0.063,0.063
33,0.146,0.146
34,0.125,0.125
35,0.125,0.125
36,0.317,0.317
37,0.302,0.302
38,0.254,0.254
39,0.254,0.254
40,0.096,0.096
41,0.094,0.094
42,0.194,0.194
43,0.139,0.139
44,0.133,0.133
45,0.215,0.215
46,0.254,0.254
47,0.15,0.15
48,0.419,0.419
