index,Life Assessment,Total_Indicator
1,0.121,0.121
2,0.063,0.063
3,0.158,0.158
4,0.469,0.469
5,0.154,0.154
6,0.093,0.093
7,0.055,0.055
8,0.062,0.062
9,0.062,0.062
10,0.078,0.078
11,0.076,0.076
12,0.172,0.172
13,0.037,0.037
14,0.194,0.194
15,0.194,0.194
16,0.117,0.117
17,0.562,0.562
18,0.043,0.043
19,0.313,0.313
20,0.219,0.219
21,0.111,0.111
22,0.111,0.111
23,0.059,0.059
24,0.064,0.064
25,0.033,0.033
26,0.039,0.039
27,0.064,0.064
28,0.135,0.135
29,0.055,0.055
30,0.214,0.214
31,0.104,0.104
32,0.079,0.079
33,0.076,0.076
34,0.119,0.119
35,0.119,0.119
36,0.545,0.545
37,0.302,0.302
38,0.169,0.169
39,0.169,0.169
40,0.121,0.121
41,0.119,0.119
42,0.227,0.227
43,0.105,0.105
44,0.092,0.092
45,0.245,0.245
46,0.321,0.321
47,0.15,0.15
48,0.681,0.681
