index,Life Assessment,Total_Indicator
1,0.119,0.119
2,0.061,0.061
3,0.129,0.129
4,0.392,0.392
5,0.253,0.253
6,0.085,0.085
7,0.033,0.033
8,0.089,0.089
9,0.089,0.089
10,0.095,0.095
11,0.093,0.093
12,0.322,0.322
13,0.024,0.024
14,0.119,0.119
15,0.119,0.119
16,0.127,0.127
17,0.562,0.562
18,0.083,0.083
19,0.518,0.518
20,0.222,0.222
21,0.112,0.112
22,0.112,0.112
23,0.088,0.088
24,0.139,0.139
25,0.026,0.026
26,0.031,0.031
27,0.09,0.09
28,0.212,0.212
29,0.101,0.101
30,0.217,0.217
31,0.078,0.078
32,0.082,0.082
33,0.205,0.205
34,0.068,0.068
35,0.068,0.068
36,0.277,0.277
37,0.302,0.302
38,0.133,0.133
39,0.133,0.133
40,0.121,0.121
41,0.119,0.119
42,0.171,0.171
43,0.179,0.179
44,0.176,0.176
45,0.223,0.223
46,0.255,0.255
47,0.15,0.15
48,0.373,0.373
