,index,LA,action,,,,,
0,1,0.447,Keep the current maintenance,,,,,
1,2,0.446,Keep the current maintenance,,,,,
2,3,0.379,Keep the current maintenance,,,,,0.12951
3,4,0.379,Keep the current maintenance,,,,,
4,5,0.324,Keep the current maintenance,,,,,
5,6,0.323,Keep the current maintenance,,,,,0.085527418
6,7,0.068,Keep the current maintenance,,,,,
7,8,0.073,Keep the current maintenance,,,,,
8,9,0.047,Keep the current maintenance,,,,,
9,10,0.047,Keep the current maintenance,,,,,
10,11,0.134,Keep the current maintenance,,,,,
11,12,0.135,Keep the current maintenance,,,,,
12,13,0.161,Keep the current maintenance,,,,,
13,14,0.115,Keep the current maintenance,,,,,
14,15,0.176,Keep the current maintenance,,,,,
15,16,0.175,Keep the current maintenance,,,,,
16,17,0.207,Keep the current maintenance,,,,,
17,18,0.193,Keep the current maintenance,,,,,
18,19,0.026,Keep the current maintenance,,,,,
19,20,0.026,Keep the current maintenance,,,,,
20,21,0.131,Keep the current maintenance,,,,,
21,22,0.131,Keep the current maintenance,,,,,
22,23,0.172,Keep the current maintenance,,,,,
23,24,0.172,Keep the current maintenance,,,,,
24,25,0.093,Keep the current maintenance,,,,,
25,26,0.075,Keep the current maintenance,,,,,
26,27,0.171,Keep the current maintenance,,,,,
27,28,0.186,Keep the current maintenance,,,,,
28,29,0.062,Keep the current maintenance,,,,,
29,30,0.063,Keep the current maintenance,,,,,
30,31,0.212,Keep the current maintenance,,,,,
31,32,0.21,Keep the current maintenance,,,,,
32,33,0.088,Keep the current maintenance,,,,,
33,34,0.088,Keep the current maintenance,,,,,
34,35,0.107,Keep the current maintenance,,,,,
35,36,0.177,Keep the current maintenance,,,,,
36,37,0.176,Keep the current maintenance,,,,,
37,38,0.107,Keep the current maintenance,,,,,
38,39,0.129,Keep the current maintenance,,,,,
39,40,0.129,Keep the current maintenance,,,,,
40,41,0.06,Keep the current maintenance,,,,,
41,42,0.062,Keep the current maintenance,,,,,
42,43,0.069,Keep the current maintenance,,,,,
43,44,0.068,Keep the current maintenance,,,,,
44,45,0.085,Keep the current maintenance,,,,,
45,46,0.121,Keep the current maintenance,,,,,
46,47,0.113,Keep the current maintenance,,,,,
47,48,0.201,Keep the current maintenance,,,,,
48,49,0.154,Keep the current maintenance,,,,,
49,50,0.155,Keep the current maintenance,,,,,
50,51,0.076,Keep the current maintenance,,,,,
51,52,0.094,Keep the current maintenance,,,,,
52,53,0.165,Keep the current maintenance,,,,,
53,54,0.176,Keep the current maintenance,,,,,
54,55,0.071,Keep the current maintenance,,,,,
55,56,0.071,Keep the current maintenance,,,,,
56,57,0.12,Keep the current maintenance,,,,,
57,58,0.122,Keep the current maintenance,,,,,
58,59,0.077,Keep the current maintenance,,,,,
59,60,0.078,Keep the current maintenance,,,,,
60,61,0.078,Keep the current maintenance,,,,,
61,62,0.078,Keep the current maintenance,,,,,
62,63,0.058,Keep the current maintenance,,,,,
63,64,0.067,Keep the current maintenance,,,,,
64,65,0.097,Keep the current maintenance,,,,,
65,66,0.097,Keep the current maintenance,,,,,
66,67,0.123,Keep the current maintenance,,,,,
67,68,0.123,Keep the current maintenance,,,,,
68,69,0.105,Keep the current maintenance,,,,,
69,70,0.105,Keep the current maintenance,,,,,
70,71,0.139,Keep the current maintenance,,,,,
71,72,0.14,Keep the current maintenance,,,,,
72,73,0.115,Keep the current maintenance,,,,,
73,74,0.115,Keep the current maintenance,,,,,
74,75,0.154,Keep the current maintenance,,,,,
75,76,0.154,Keep the current maintenance,,,,,
76,77,0.389,Keep the current maintenance,,,,,
77,78,0.096,Keep the current maintenance,,,,,
78,79,0.063,Keep the current maintenance,,,,,
79,80,0.123,Keep the current maintenance,,,,,
80,81,0.159,Keep the current maintenance,,,,,
81,82,0.09,Keep the current maintenance,,,,,
82,83,0.091,Keep the current maintenance,,,,,
83,84,0.063,Keep the current maintenance,,,,,
84,85,0.088,Keep the current maintenance,,,,,
85,86,0.102,Keep the current maintenance,,,,,
86,87,0.102,Keep the current maintenance,,,,,
87,88,0.088,Keep the current maintenance,,,,,
88,89,0.209,Keep the current maintenance,,,,,
89,90,0.193,Keep the current maintenance,,,,,
90,91,0.091,Keep the current maintenance,,,,,
91,92,0.091,Keep the current maintenance,,,,,
92,93,0.118,Keep the current maintenance,,,,,
93,94,0.118,Keep the current maintenance,,,,,
94,95,0.07,Keep the current maintenance,,,,,
95,96,0.07,Keep the current maintenance,,,,,
96,97,0,Replacement,,,,,
97,98,0,Replacement,,,,,
98,99,0.08,Keep the current maintenance,,,,,
99,100,0.011,Keep the current maintenance,,,,,
