name,cost_failure,customers_affected,value_lost_load
2,5040.312,203.99,2252922.571
5,6149.655,247.313,2536122.769
8,4971.623,197.946,1882784.201
11,4450.555,181.51,1460973.209
13,1366.171,36.325,0.0
14,4583.271,182.74,1661966.412
15,1934.111,75.51,660698.034
19,7585.255,301.427,3445157.692
21,2658.253,0.0,285112.37
24,4283.118,107.887,896884.181
25,5494.231,173.284,915164.331
28,7467.832,303.528,4058301.3
32,4008.535,162.441,1784441.772
33,3770.114,150.541,1238324.639
38,2882.617,115.91,724585.907
39,9762.184,392.424,2254496.803
42,3488.294,129.724,2662934.126
44,9047.022,359.436,1824087.34
46,107.358,2.139,710925.955
47,4830.004,0.0,819149.398
48,13243.889,194.912,1426715.256
51,4138.007,216.548,1594314.227
52,2221.88,528.407,2591664.365
53,5804.826,87.25,792286.934
54,3469.058,152.801,1758452.053
55,7419.167,2.172,299418.571
56,3457.18,87.132,618228.278
57,4277.413,233.552,1348857.127
58,53.455,294.004,1540390.372
59,3645.373,171.678,1013318.131
60,80.194,117.382,2211758.596
61,3508.757,1.082,1360.054
62,1548.684,146.674,1252701.786
73,1398.663,0.0,432930.003
74_1,3460.124,177.881,1893104.581
74_2,5459.037,179.998,0.0
81,1264.837,3.19,468738.119
88,160.77,56.117,245491.977
12,6842.234,258.937,2126357.696
72,6840.134,213.933,1589656.121
