name,age_years,H1_fail_prob,H2_criticality,H3_energy
2,27,0.603,5.069,886341.055
5,27,0.387,11.164,1034102.985
8,27,0.117,1.01,630445.564
11,27,0.829,3.035,540670.264
13,27,0.636,21.231,0.0
14,27,0.534,4.051,655133.556
15,27,0.194,0.0,220141.076
19,27,0.537,14.182,1597402.978
21,27,0.809,0.0,196436.602
24,27,0.767,0.0,302743.806
25,27,0.12,1.012,306403.94
28,27,0.498,4.059,1500946.708
32,27,0.592,4.051,621454.21
33,27,0.125,1.013,430568.895
38,27,0.12,0.0,240342.071
39,27,0.13,1.016,786216.583
42,27,0.607,15.19,1292404.648
44,27,0.314,1.012,598725.946
46,27,0.16,2.02,491075.258
47,27,0.123,0.0,565817.22
48,27,0.607,1.012,522419.322
51,27,0.474,2.029,582210.404
52,27,0.44,1.013,839854.241
53,27,0.12,0.0,260193.126
54,27,0.588,14.18,745833.336
55,27,0.843,1.009,234535.837
56,27,0.115,0.0,209016.789
57,27,0.603,2.023,463715.741
58,27,0.12,5.077,602085.138
59,27,0.166,8.105,424839.102
60,27,0.521,4.048,1158948.903
61,27,0.7,1.014,940.202
62,27,0.151,5.061,520622.232
73,27,0.056,0.0,297525.241
74_1,27,0.593,15.166,898605.633
74_2,27,0.118,15.176,0.0
81,27,0.407,3.04,322773.387
88,27,0.181,0.0,77567.448
12,27,0.457,40.622,741504.396
72,27,0.829,10.129,635347.924
