name,external_condition,cost_failure
2,2.059,5030.933
5,2.073,6141.721
8,3.119,4950.067
11,2.059,4443.568
13,2.08,1363.198
14,2.085,4584.214
15,3.121,1931.664
19,2.079,7587.233
21,2.07,2658.03
24,2.077,4301.269
25,3.112,5493.319
28,1.038,7428.511
32,2.08,4009.87
33,3.108,3790.015
38,3.129,2898.866
39,3.1,9844.517
42,2.071,3516.027
44,3.111,9026.24
46,3.116,107.696
47,3.128,4840.021
48,2.07,13271.9
51,2.088,4121.826
52,2.074,2216.606
53,3.117,5835.905
54,2.086,3473.481
55,2.068,7462.625
56,3.087,3451.838
57,2.061,4298.446
58,3.096,53.288
59,3.103,3643.793
60,2.07,80.103
61,2.067,3517.451
62,3.092,1549.789
73,3.106,1403.142
74_1,2.09,3453.83
74_2,3.127,5467.889
81,2.062,1256.931
88,3.116,160.022
12,2.081,6837.283
72,2.06,6856.424
