,index,LA,action,,,,,
0,1,0,Replacement,,,,,
1,2,0.398,Keep the current maintenance,,,,,
2,3,0.241,Keep the current maintenance,,,,,
3,4,0.211,Keep the current maintenance,,,,,
4,5,0.377,Keep the current maintenance,,,,,
5,6,0.262,Keep the current maintenance,,,,,0.224457627
6,7,0,Replacement,,,,,
7,8,0.234,Keep the current maintenance,,,,,0.179216717
8,9,0.262,Keep the current maintenance,,,,,
9,10,0.241,Keep the current maintenance,,,,,
10,11,0.377,Keep the current maintenance,,,,,
11,12,0.211,Keep the current maintenance,,,,,
12,13,0.251,Keep the current maintenance,,,,,
13,14,0.222,Keep the current maintenance,,,,,
14,15,0,Replacement,,,,,
15,16,0,Replacement,,,,,
16,17,0.403,Keep the current maintenance,,,,,
17,18,0,Replacement,,,,,
18,19,0.246,Keep the current maintenance,,,,,
19,20,0.388,Keep the current maintenance,,,,,
20,21,0.211,Keep the current maintenance,,,,,
21,22,0,Replacement,,,,,
22,23,0.336,Keep the current maintenance,,,,,
23,24,0.304,Keep the current maintenance,,,,,
24,25,0,Replacement,,,,,
25,26,0.291,Keep the current maintenance,,,,,
26,27,0,Replacement,,,,,
27,28,0.2,Keep the current maintenance,,,,,
28,29,0,Replacement,,,,,
29,30,0.05,Keep the current maintenance,,,,,
30,31,0,Replacement,,,,,
31,32,0.402,Keep the current maintenance,,,,,
32,33,0.05,Keep the current maintenance,,,,,
33,34,0.45,Keep the current maintenance,,,,,
34,35,0,Replacement,,,,,
35,36,0.311,Keep the current maintenance,,,,,
36,37,0.311,Keep the current maintenance,,,,,
37,38,0,Keep the current maintenance,,,,,
38,39,0.428,Keep the current maintenance,,,,,
39,40,0,Keep the current maintenance,,,,,
40,41,0.305,Keep the current maintenance,,,,,
41,42,0.412,Keep the current maintenance,,,,,
42,43,0.412,Keep the current maintenance,,,,,
43,44,0.498,Keep the current maintenance,,,,,
44,45,0.498,Keep the current maintenance,,,,,
45,46,0.463,Keep the current maintenance,,,,,
46,47,0.463,Keep the current maintenance,,,,,
47,48,0.05,Keep the current maintenance,,,,,
48,49,0,Replacement,,,,,
49,50,0,Keep the current maintenance,,,,,
50,51,0.434,Keep the current maintenance,,,,,
51,52,0,Replacement,,,,,
52,53,0,Replacement,,,,,
53,54,0,Keep the current maintenance,,,,,
54,55,0.346,Keep the current maintenance,,,,,
55,56,0.456,Keep the current maintenance,,,,,
56,57,0.456,Keep the current maintenance,,,,,
57,58,0.391,Keep the current maintenance,,,,,
58,59,0.391,Keep the current maintenance,,,,,
